city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
ATLANTA,1,412,418,418,371,86,0
ATLANTA,1,421,411,411,363,86,1
ATLANTA,1,436,406,406,357,85,2
ATLANTA,1,442,401,401,350,86,3
ATLANTA,1,467,397,397,346,87,4
ATLANTA,1,457,392,392,340,86,5
ATLANTA,1,467,389,389,335,86,6
ATLANTA,1,470,387,386,331,89,7
ATLANTA,1,457,386,386,331,88,8
ATLANTA,1,458,399,399,345,94,9
ATLANTA,1,458,422,422,371,99,10
ATLANTA,1,427,447,446,401,103,11
ATLANTA,1,422,469,469,430,103,12
ATLANTA,1,403,488,487,452,104,13
ATLANTA,1,410,501,500,470,104,14
ATLANTA,1,388,509,508,479,105,15
ATLANTA,1,399,511,510,481,102,16
ATLANTA,1,379,500,500,469,100,17
ATLANTA,1,388,480,480,446,89,18
ATLANTA,1,378,465,465,428,86,19
ATLANTA,1,386,454,454,414,88,20
ATLANTA,1,410,444,444,402,87,21
ATLANTA,1,399,435,435,392,86,22
ATLANTA,1,386,427,427,382,86,23
ATLANTA,2,406,419,419,373,85,0
ATLANTA,2,413,412,412,364,85,1
ATLANTA,2,432,407,407,358,85,2
ATLANTA,2,440,401,401,351,84,3
ATLANTA,2,464,398,398,347,86,4
ATLANTA,2,445,393,393,341,85,5
ATLANTA,2,464,389,389,336,85,6
ATLANTA,2,471,387,387,331,88,7
ATLANTA,2,462,386,386,332,87,8
ATLANTA,2,456,400,400,347,93,9
ATLANTA,2,455,424,424,373,98,10
ATLANTA,2,430,449,448,404,102,11
ATLANTA,2,421,471,471,433,102,12
ATLANTA,2,405,490,490,456,103,13
ATLANTA,2,408,504,503,474,104,14
ATLANTA,2,390,512,511,483,105,15
ATLANTA,2,401,514,514,486,102,16
ATLANTA,2,378,504,504,474,100,17
ATLANTA,2,381,484,484,451,89,18
ATLANTA,2,384,468,468,433,86,19
ATLANTA,2,396,457,457,419,88,20
ATLANTA,2,415,447,447,406,87,21
ATLANTA,2,406,438,438,396,86,22
ATLANTA,2,402,429,429,386,85,23
ATLANTA,3,410,422,422,377,85,0
ATLANTA,3,416,415,415,368,85,1
ATLANTA,3,437,410,410,362,84,2
ATLANTA,3,443,404,404,355,83,3
ATLANTA,3,461,400,400,350,85,4
ATLANTA,3,445,395,395,344,85,5
ATLANTA,3,472,392,391,339,86,6
ATLANTA,3,486,389,389,334,89,7
ATLANTA,3,464,388,388,334,88,8
ATLANTA,3,453,402,402,348,94,9
ATLANTA,3,463,425,425,375,98,10
ATLANTA,3,438,449,449,405,103,11
ATLANTA,3,417,472,471,433,103,12
ATLANTA,3,410,490,489,455,105,13
ATLANTA,3,413,503,503,473,105,14
ATLANTA,3,394,512,511,482,105,15
ATLANTA,3,401,514,513,484,103,16
ATLANTA,3,383,503,503,474,101,17
ATLANTA,3,389,484,484,451,90,18
ATLANTA,3,393,468,468,432,86,19
ATLANTA,3,407,457,457,418,89,20
ATLANTA,3,416,446,446,406,87,21
ATLANTA,3,404,438,438,395,86,22
ATLANTA,3,408,429,429,384,86,23
ATLANTA,4,410,421,421,376,85,0
ATLANTA,4,413,414,414,367,85,1
ATLANTA,4,427,409,408,361,84,2
ATLANTA,4,436,402,402,353,84,3
ATLANTA,4,453,399,399,348,85,4
ATLANTA,4,439,394,393,342,85,5
ATLANTA,4,469,390,390,336,87,6
ATLANTA,4,484,387,387,331,89,7
ATLANTA,4,458,386,386,331,88,8
ATLANTA,4,451,400,400,345,94,9
ATLANTA,4,451,423,423,372,99,10
ATLANTA,4,425,447,447,402,104,11
ATLANTA,4,408,469,469,430,103,12
ATLANTA,4,405,487,487,452,105,13
ATLANTA,4,411,501,501,469,106,14
ATLANTA,4,392,510,510,480,105,15
ATLANTA,4,398,511,511,481,104,16
ATLANTA,4,378,501,501,470,102,17
ATLANTA,4,384,482,482,448,90,18
ATLANTA,4,395,466,466,429,87,19
ATLANTA,4,405,455,455,415,89,20
ATLANTA,4,408,444,444,403,88,21
ATLANTA,4,403,435,435,392,87,22
ATLANTA,4,409,426,426,381,86,23
ATLANTA,5,401,419,419,373,86,0
ATLANTA,5,404,412,412,364,85,1
ATLANTA,5,410,406,406,357,85,2
ATLANTA,5,419,400,400,350,84,3
ATLANTA,5,431,396,396,344,86,4
ATLANTA,5,419,391,390,338,85,5
ATLANTA,5,455,387,387,332,86,6
ATLANTA,5,471,384,384,327,89,7
ATLANTA,5,438,383,383,327,88,8
ATLANTA,5,431,397,397,341,94,9
