city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
AUSTIN 2,1,-9999,-9999,462,-9999,54,0
AUSTIN 2,1,-9999,-9999,446,-9999,56,1
AUSTIN 2,1,-9999,-9999,441,-9999,54,2
AUSTIN 2,1,-9999,-9999,438,-9999,55,3
AUSTIN 2,1,-9999,-9999,435,-9999,55,4
AUSTIN 2,1,-9999,-9999,430,-9999,55,5
AUSTIN 2,1,-9999,-9999,431,-9999,51,6
AUSTIN 2,1,-9999,-9999,423,-9999,57,7
AUSTIN 2,1,394,-9999,425,-9999,59,8
AUSTIN 2,1,411,-9999,459,-9999,71,9
AUSTIN 2,1,405,-9999,494,-9999,85,10
AUSTIN 2,1,401,-9999,524,-9999,92,11
AUSTIN 2,1,397,-9999,549,-9999,91,12
AUSTIN 2,1,382,-9999,571,-9999,103,13
AUSTIN 2,1,350,-9999,584,-9999,104,14
AUSTIN 2,1,366,-9999,591,-9999,103,15
AUSTIN 2,1,338,-9999,591,-9999,101,16
AUSTIN 2,1,352,-9999,580,-9999,92,17
AUSTIN 2,1,-9999,-9999,545,-9999,69,18
AUSTIN 2,1,342,-9999,513,-9999,62,19
AUSTIN 2,1,325,-9999,492,-9999,60,20
AUSTIN 2,1,354,-9999,481,-9999,59,21
AUSTIN 2,1,375,-9999,472,-9999,60,22
AUSTIN 2,1,-9999,-9999,464,-9999,61,23
AUSTIN 2,2,-9999,-9999,465,-9999,54,0
AUSTIN 2,2,-9999,-9999,449,-9999,55,1
AUSTIN 2,2,-9999,-9999,444,-9999,54,2
AUSTIN 2,2,-9999,-9999,441,-9999,55,3
AUSTIN 2,2,-9999,-9999,439,-9999,55,4
AUSTIN 2,2,-9999,-9999,433,-9999,53,5
AUSTIN 2,2,-9999,-9999,435,-9999,50,6
AUSTIN 2,2,419,-9999,426,-9999,56,7
AUSTIN 2,2,399,430,428,405,58,8
AUSTIN 2,2,413,465,463,438,70,9
AUSTIN 2,2,397,501,499,478,85,10
AUSTIN 2,2,391,-9999,530,-9999,93,11
AUSTIN 2,2,386,559,555,-9999,91,12
AUSTIN 2,2,367,581,577,566,104,13
AUSTIN 2,2,335,592,590,579,105,14
AUSTIN 2,2,346,599,597,588,103,15
AUSTIN 2,2,327,599,597,587,101,16
AUSTIN 2,2,338,588,586,576,92,17
AUSTIN 2,2,-9999,-9999,551,-9999,68,18
AUSTIN 2,2,332,-9999,518,-9999,61,19
AUSTIN 2,2,315,-9999,498,-9999,59,20
AUSTIN 2,2,348,-9999,486,-9999,59,21
AUSTIN 2,2,363,-9999,476,-9999,60,22
AUSTIN 2,2,-9999,-9999,468,-9999,61,23
AUSTIN 2,3,-9999,-9999,468,-9999,54,0
AUSTIN 2,3,-9999,-9999,452,-9999,56,1
AUSTIN 2,3,-9999,-9999,447,-9999,55,2
AUSTIN 2,3,-9999,-9999,445,-9999,56,3
AUSTIN 2,3,-9999,-9999,441,-9999,57,4
AUSTIN 2,3,-9999,-9999,434,-9999,54,5
AUSTIN 2,3,-9999,-9999,437,-9999,50,6
AUSTIN 2,3,-9999,-9999,428,-9999,58,7
AUSTIN 2,3,390,430,430,403,60,8
AUSTIN 2,3,405,464,464,437,71,9
AUSTIN 2,3,390,500,499,476,86,10
AUSTIN 2,3,378,534,531,513,94,11
AUSTIN 2,3,367,560,556,-9999,93,12
AUSTIN 2,3,357,581,578,567,105,13
AUSTIN 2,3,330,592,591,578,105,14
AUSTIN 2,3,337,600,598,588,104,15
AUSTIN 2,3,322,599,598,586,102,16
AUSTIN 2,3,332,588,586,575,92,17
AUSTIN 2,3,-9999,-9999,552,-9999,68,18
AUSTIN 2,3,321,-9999,518,-9999,61,19
AUSTIN 2,3,309,-9999,497,-9999,59,20
AUSTIN 2,3,341,-9999,485,-9999,58,21
AUSTIN 2,3,359,-9999,475,-9999,58,22
AUSTIN 2,3,-9999,-9999,466,-9999,61,23
AUSTIN 2,4,-9999,-9999,466,-9999,53,0
AUSTIN 2,4,-9999,-9999,450,-9999,55,1
AUSTIN 2,4,-9999,-9999,445,-9999,55,2
AUSTIN 2,4,-9999,-9999,443,-9999,56,3
AUSTIN 2,4,-9999,-9999,439,-9999,57,4
AUSTIN 2,4,-9999,-9999,432,-9999,54,5
AUSTIN 2,4,-9999,-9999,434,-9999,50,6
AUSTIN 2,4,409,-9999,426,-9999,58,7
AUSTIN 2,4,397,429,429,402,60,8
AUSTIN 2,4,415,463,463,436,71,9
AUSTIN 2,4,402,498,498,474,86,10
AUSTIN 2,4,390,532,529,511,95,11
AUSTIN 2,4,369,558,554,-9999,93,12
AUSTIN 2,4,355,579,576,565,105,13
AUSTIN 2,4,335,591,590,577,105,14
AUSTIN 2,4,335,599,597,587,104,15
AUSTIN 2,4,314,598,597,585,102,16
AUSTIN 2,4,332,587,585,574,93,17
AUSTIN 2,4,-9999,-9999,551,-9999,69,18
AUSTIN 2,4,314,-9999,516,-9999,61,19
AUSTIN 2,4,308,-9999,495,-9999,58,20
AUSTIN 2,4,335,-9999,483,-9999,58,21
AUSTIN 2,4,352,-9999,473,-9999,57,22
AUSTIN 2,4,-9999,-9999,464,-9999,60,23
AUSTIN 2,5,-9999,-9999,465,-9999,54,0
AUSTIN 2,5,-9999,-9999,449,-9999,56,1
AUSTIN 2,5,-9999,-9999,445,-9999,55,2
AUSTIN 2,5,-9999,-9999,443,-9999,56,3
AUSTIN 2,5,-9999,-9999,439,-9999,57,4
AUSTIN 2,5,-9999,-9999,432,-9999,54,5
AUSTIN 2,5,-9999,-9999,435,-9999,50,6
AUSTIN 2,5,-9999,-9999,427,-9999,58,7
AUSTIN 2,5,411,431,430,406,60,8
AUSTIN 2,5,425,464,464,439,70,9
AUSTIN 2,5,411,500,499,476,85,10
AUSTIN 2,5,407,534,530,514,94,11
AUSTIN 2,5,373,560,556,-9999,93,12
AUSTIN 2,5,369,582,578,567,105,13
AUSTIN 2,5,346,594,592,580,105,14
AUSTIN 2,5,339,602,599,590,105,15
AUSTIN 2,5,323,601,599,587,103,16
AUSTIN 2,5,333,589,587,576,93,17
AUSTIN 2,5,-9999,-9999,553,-9999,70,18
AUSTIN 2,5,320,-9999,518,-9999,61,19
AUSTIN 2,5,323,-9999,497,-9999,59,20
AUSTIN 2,5,344,-9999,485,-9999,58,21
AUSTIN 2,5,363,-9999,475,-9999,59,22
AUSTIN 2,5,-9999,-9999,465,-9999,62,23
AUSTIN 2,6,-9999,-9999,468,-9999,-9999,0
AUSTIN 2,6,-9999,-9999,452,-9999,58,1
AUSTIN 2,6,-9999,-9999,446,-9999,57,2
AUSTIN 2,6,-9999,-9999,444,-9999,58,3
AUSTIN 2,6,-9999,-9999,439,-9999,59,4
AUSTIN 2,6,-9999,-9999,432,-9999,56,5
AUSTIN 2,6,-9999,-9999,434,-9999,51,6
AUSTIN 2,6,425,-9999,426,-9999,59,7
AUSTIN 2,6,410,430,428,404,60,8
AUSTIN 2,6,430,463,462,438,71,9
AUSTIN 2,6,417,499,497,475,86,10
AUSTIN 2,6,417,532,528,511,96,11
AUSTIN 2,6,387,557,553,-9999,95,12
AUSTIN 2,6,375,579,575,563,107,13
AUSTIN 2,6,353,591,588,578,107,14
AUSTIN 2,6,346,599,596,586,107,15
AUSTIN 2,6,338,597,595,584,105,16
AUSTIN 2,6,346,585,583,571,95,17
AUSTIN 2,6,-9999,-9999,551,-9999,71,18
AUSTIN 2,6,336,-9999,515,-9999,63,19
AUSTIN 2,6,337,-9999,494,-9999,60,20
AUSTIN 2,6,344,-9999,482,-9999,58,21
AUSTIN 2,6,365,-9999,472,-9999,59,22
AUSTIN 2,6,-9999,-9999,463,-9999,62,23
AUSTIN 2,7,-9999,-9999,464,-9999,-9999,0
AUSTIN 2,7,-9999,-9999,448,-9999,59,1
AUSTIN 2,7,-9999,-9999,444,-9999,58,2
AUSTIN 2,7,-9999,-9999,441,-9999,58,3
AUSTIN 2,7,-9999,-9999,436,-9999,58,4
AUSTIN 2,7,-9999,-9999,430,-9999,55,5
AUSTIN 2,7,-9999,-9999,431,-9999,50,6
AUSTIN 2,7,414,-9999,423,-9999,58,7
