city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
AUSTIN,1,438,476,476,452,66,0
AUSTIN,1,449,468,468,443,63,1
AUSTIN,1,465,462,462,437,63,2
AUSTIN,1,482,457,457,430,64,3
AUSTIN,1,480,453,453,424,65,4
AUSTIN,1,494,449,449,419,64,5
AUSTIN,1,496,443,443,412,64,6
AUSTIN,1,462,441,441,409,65,7
AUSTIN,1,463,441,441,410,65,8
AUSTIN,1,489,463,463,431,73,9
AUSTIN,1,476,491,491,463,81,10
AUSTIN,1,466,521,521,498,85,11
AUSTIN,1,458,546,545,526,90,12
AUSTIN,1,436,567,566,550,94,13
AUSTIN,1,428,581,580,567,96,14
AUSTIN,1,386,588,588,573,93,15
AUSTIN,1,398,587,586,572,94,16
AUSTIN,1,384,577,577,561,89,17
AUSTIN,1,411,551,551,533,75,18
AUSTIN,1,398,532,532,514,70,19
AUSTIN,1,395,517,517,499,68,20
AUSTIN,1,413,506,505,486,67,21
AUSTIN,1,405,496,496,476,65,22
AUSTIN,1,419,486,486,465,65,23
AUSTIN,2,443,479,479,456,65,0
AUSTIN,2,453,471,471,447,61,1
AUSTIN,2,476,465,465,440,62,2
AUSTIN,2,495,460,460,434,63,3
AUSTIN,2,495,456,456,429,64,4
AUSTIN,2,501,452,451,424,63,5
AUSTIN,2,511,447,447,417,63,6
AUSTIN,2,472,444,444,414,65,7
AUSTIN,2,473,445,445,415,64,8
AUSTIN,2,496,467,467,436,72,9
AUSTIN,2,478,496,496,469,81,10
AUSTIN,2,457,526,526,504,86,11
AUSTIN,2,448,552,551,532,91,12
AUSTIN,2,429,573,572,556,95,13
AUSTIN,2,415,587,587,573,97,14
AUSTIN,2,382,594,594,581,94,15
AUSTIN,2,391,593,593,579,95,16
AUSTIN,2,379,583,583,568,90,17
AUSTIN,2,397,557,557,540,75,18
AUSTIN,2,395,538,537,521,70,19
AUSTIN,2,389,522,522,505,69,20
AUSTIN,2,404,510,510,491,67,21
AUSTIN,2,399,500,500,480,65,22
AUSTIN,2,411,490,489,469,65,23
AUSTIN,3,435,483,482,460,66,0
AUSTIN,3,446,475,474,452,62,1
AUSTIN,3,471,469,469,445,63,2
AUSTIN,3,493,464,463,438,64,3
AUSTIN,3,498,459,459,432,64,4
AUSTIN,3,505,454,454,426,64,5
AUSTIN,3,510,449,449,419,64,6
AUSTIN,3,472,447,447,416,67,7
AUSTIN,3,468,447,446,416,65,8
AUSTIN,3,489,468,468,437,73,9
AUSTIN,3,473,497,497,470,82,10
AUSTIN,3,447,527,527,505,87,11
AUSTIN,3,437,552,552,532,92,12
AUSTIN,3,423,573,573,557,96,13
AUSTIN,3,403,588,588,574,98,14
AUSTIN,3,370,595,595,582,95,15
AUSTIN,3,380,594,594,580,96,16
AUSTIN,3,374,584,584,569,91,17
AUSTIN,3,396,557,557,540,75,18
AUSTIN,3,392,538,538,521,70,19
AUSTIN,3,384,522,522,504,69,20
AUSTIN,3,398,510,510,491,66,21
AUSTIN,3,397,499,499,479,64,22
AUSTIN,3,410,489,489,468,65,23
AUSTIN,4,435,482,482,459,66,0
AUSTIN,4,440,474,474,451,62,1
