city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
CHARLOTTE,1,433,400,400,366,55,0
CHARLOTTE,1,440,392,392,358,55,1
CHARLOTTE,1,424,386,386,352,54,2
CHARLOTTE,1,438,381,381,346,54,3
CHARLOTTE,1,439,376,376,342,52,4
CHARLOTTE,1,445,371,371,336,54,5
CHARLOTTE,1,470,366,366,329,54,6
CHARLOTTE,1,470,364,364,325,54,7
CHARLOTTE,1,433,364,364,325,56,8
CHARLOTTE,1,450,390,390,350,63,9
CHARLOTTE,1,444,419,419,378,74,10
CHARLOTTE,1,439,445,445,408,80,11
CHARLOTTE,1,430,467,467,435,81,12
CHARLOTTE,1,445,484,484,454,83,13
CHARLOTTE,1,425,495,495,469,85,14
CHARLOTTE,1,440,501,501,477,82,15
CHARLOTTE,1,408,501,501,477,79,16
CHARLOTTE,1,401,487,487,462,72,17
CHARLOTTE,1,387,462,462,435,64,18
CHARLOTTE,1,423,447,447,418,63,19
CHARLOTTE,1,404,435,435,404,62,20
CHARLOTTE,1,382,427,427,394,63,21
CHARLOTTE,1,392,417,417,383,60,22
CHARLOTTE,1,408,408,408,375,58,23
CHARLOTTE,2,427,400,400,367,55,0
CHARLOTTE,2,432,392,392,359,55,1
CHARLOTTE,2,429,386,386,353,53,2
CHARLOTTE,2,437,381,381,347,53,3
CHARLOTTE,2,432,376,376,342,51,4
CHARLOTTE,2,445,371,371,336,53,5
CHARLOTTE,2,468,366,366,330,54,6
CHARLOTTE,2,464,364,364,325,54,7
CHARLOTTE,2,421,364,364,325,56,8
CHARLOTTE,2,445,390,390,350,62,9
CHARLOTTE,2,437,419,419,378,74,10
CHARLOTTE,2,439,445,445,408,80,11
CHARLOTTE,2,430,468,468,436,81,12
CHARLOTTE,2,446,484,484,456,83,13
CHARLOTTE,2,424,497,496,470,85,14
CHARLOTTE,2,435,503,503,479,82,15
CHARLOTTE,2,404,503,503,479,80,16
CHARLOTTE,2,407,489,489,464,72,17
CHARLOTTE,2,388,464,464,437,64,18
CHARLOTTE,2,416,448,448,420,64,19
CHARLOTTE,2,397,436,436,405,62,20
CHARLOTTE,2,381,428,428,395,64,21
CHARLOTTE,2,389,419,419,384,61,22
CHARLOTTE,2,403,409,409,376,58,23
CHARLOTTE,3,423,401,401,368,56,0
CHARLOTTE,3,429,393,393,360,55,1
CHARLOTTE,3,418,387,387,354,53,2
CHARLOTTE,3,432,382,382,349,53,3
CHARLOTTE,3,429,377,377,344,51,4
CHARLOTTE,3,439,373,372,338,53,5
CHARLOTTE,3,466,368,368,331,54,6
CHARLOTTE,3,465,365,365,327,54,7
CHARLOTTE,3,430,365,365,327,57,8
CHARLOTTE,3,454,391,391,351,63,9
CHARLOTTE,3,443,420,420,379,74,10
CHARLOTTE,3,442,446,446,408,80,11
CHARLOTTE,3,436,468,468,436,81,12
CHARLOTTE,3,447,485,484,456,83,13
CHARLOTTE,3,431,496,496,470,85,14
CHARLOTTE,3,440,503,503,479,83,15
CHARLOTTE,3,406,503,503,479,80,16
CHARLOTTE,3,408,489,488,463,73,17
CHARLOTTE,3,389,464,464,437,65,18
CHARLOTTE,3,415,449,449,419,64,19
CHARLOTTE,3,406,436,436,404,63,20
CHARLOTTE,3,381,428,428,395,65,21
CHARLOTTE,3,390,419,419,384,62,22
CHARLOTTE,3,406,409,409,376,60,23
CHARLOTTE,4,426,401,401,367,57,0
CHARLOTTE,4,428,393,393,359,57,1
CHARLOTTE,4,423,387,387,354,54,2
CHARLOTTE,4,429,382,382,349,54,3
CHARLOTTE,4,425,377,377,343,52,4
CHARLOTTE,4,442,372,372,337,54,5
CHARLOTTE,4,460,367,367,331,55,6
CHARLOTTE,4,455,365,365,326,56,7
CHARLOTTE,4,418,365,365,326,57,8
CHARLOTTE,4,449,390,390,350,65,9
CHARLOTTE,4,432,419,419,378,76,10
CHARLOTTE,4,435,446,446,408,81,11
CHARLOTTE,4,431,469,468,436,82,12
CHARLOTTE,4,441,485,484,455,85,13
CHARLOTTE,4,427,496,496,469,87,14
CHARLOTTE,4,439,503,503,478,85,15
CHARLOTTE,4,401,503,503,478,82,16
CHARLOTTE,4,405,488,488,463,75,17
CHARLOTTE,4,391,464,464,436,65,18
CHARLOTTE,4,409,448,448,419,65,19
CHARLOTTE,4,401,436,436,404,64,20
CHARLOTTE,4,377,428,428,393,66,21
CHARLOTTE,4,385,419,419,383,63,22
CHARLOTTE,4,408,409,409,375,60,23
CHARLOTTE,5,422,401,401,367,57,0
CHARLOTTE,5,424,392,392,357,58,1
CHARLOTTE,5,418,386,386,351,55,2
CHARLOTTE,5,422,381,381,346,55,3
CHARLOTTE,5,419,376,375,340,53,4
CHARLOTTE,5,439,371,370,335,54,5
CHARLOTTE,5,462,366,366,328,55,6
CHARLOTTE,5,448,363,363,323,56,7
CHARLOTTE,5,414,363,363,323,58,8
CHARLOTTE,5,442,389,389,346,66,9
CHARLOTTE,5,428,417,417,374,77,10
CHARLOTTE,5,424,444,444,405,82,11
CHARLOTTE,5,424,466,466,433,83,12
CHARLOTTE,5,435,483,483,453,85,13
CHARLOTTE,5,419,495,495,468,88,14
CHARLOTTE,5,433,502,502,476,86,15
CHARLOTTE,5,401,502,502,477,83,16
CHARLOTTE,5,408,488,488,462,76,17
CHARLOTTE,5,391,463,463,435,66,18
CHARLOTTE,5,403,448,448,418,64,19
CHARLOTTE,5,405,435,435,403,64,20
CHARLOTTE,5,377,427,427,391,67,21
CHARLOTTE,5,381,418,418,381,63,22
CHARLOTTE,5,408,408,408,373,61,23
CHARLOTTE,6,420,400,400,365,58,0
CHARLOTTE,6,425,391,391,355,59,1
CHARLOTTE,6,419,385,385,349,57,2
CHARLOTTE,6,426,380,380,344,55,3
CHARLOTTE,6,423,375,374,339,54,4
CHARLOTTE,6,432,370,370,333,55,5
CHARLOTTE,6,459,365,365,327,55,6
CHARLOTTE,6,444,363,363,322,56,7
CHARLOTTE,6,414,363,363,322,59,8
CHARLOTTE,6,449,388,388,345,67,9
CHARLOTTE,6,439,416,416,373,77,10
CHARLOTTE,6,433,442,442,403,82,11
CHARLOTTE,6,427,465,465,431,84,12
CHARLOTTE,6,430,482,482,452,86,13
CHARLOTTE,6,409,494,494,466,88,14
CHARLOTTE,6,424,501,501,475,87,15
CHARLOTTE,6,395,502,502,476,84,16
CHARLOTTE,6,406,488,488,461,76,17
CHARLOTTE,6,388,464,464,435,67,18
CHARLOTTE,6,402,448,448,418,65,19
CHARLOTTE,6,403,435,435,402,65,20
CHARLOTTE,6,373,426,426,390,67,21
CHARLOTTE,6,380,417,417,381,64,22
CHARLOTTE,6,407,407,407,372,62,23
CHARLOTTE,7,418,399,399,365,58,0
CHARLOTTE,7,420,390,390,354,59,1
CHARLOTTE,7,413,384,384,349,56,2
CHARLOTTE,7,418,379,379,344,55,3
CHARLOTTE,7,415,374,373,338,54,4
CHARLOTTE,7,430,369,368,332,55,5
CHARLOTTE,7,450,363,363,325,55,6
CHARLOTTE,7,437,362,362,322,56,7
CHARLOTTE,7,410,362,361,321,58,8
CHARLOTTE,7,442,387,387,345,66,9
CHARLOTTE,7,440,415,415,372,78,10
CHARLOTTE,7,432,441,441,402,83,11
CHARLOTTE,7,425,465,465,431,85,12
CHARLOTTE,7,423,482,482,451,88,13
CHARLOTTE,7,399,494,494,465,89,14
CHARLOTTE,7,413,501,501,475,89,15
CHARLOTTE,7,390,502,502,475,87,16
CHARLOTTE,7,396,488,488,460,78,17
CHARLOTTE,7,385,464,464,435,68,18
CHARLOTTE,7,388,447,447,417,66,19
CHARLOTTE,7,380,434,434,401,66,20
CHARLOTTE,7,360,425,425,389,68,21
CHARLOTTE,7,365,416,416,380,66,22
CHARLOTTE,7,392,407,407,371,62,23
CHARLOTTE,8,395,398,398,363,59,0
CHARLOTTE,8,411,389,389,353,60,1
CHARLOTTE,8,395,383,383,347,57,2
CHARLOTTE,8,402,377,376,341,55,3
CHARLOTTE,8,394,371,371,335,54,4
CHARLOTTE,8,407,366,366,329,55,5
CHARLOTTE,8,430,361,361,322,55,6
CHARLOTTE,8,425,359,359,319,56,7
CHARLOTTE,8,396,359,359,318,58,8
