city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
CHICAGO,1,537,245,245,151,103,0
CHICAGO,1,540,242,242,148,102,1
CHICAGO,1,534,239,239,146,100,2
CHICAGO,1,551,237,237,143,100,3
CHICAGO,1,556,235,235,141,99,4
CHICAGO,1,573,232,232,137,99,5
CHICAGO,1,559,231,231,137,98,6
CHICAGO,1,550,230,230,135,99,7
CHICAGO,1,560,233,233,136,100,8
CHICAGO,1,551,245,245,146,109,9
CHICAGO,1,538,260,260,162,114,10
CHICAGO,1,544,275,275,178,119,11
CHICAGO,1,540,287,287,191,122,12
CHICAGO,1,551,295,295,202,120,13
CHICAGO,1,540,300,300,207,120,14
CHICAGO,1,572,299,299,207,120,15
CHICAGO,1,547,292,292,200,115,16
CHICAGO,1,560,281,281,189,110,17
CHICAGO,1,580,274,274,181,108,18
CHICAGO,1,583,268,268,176,108,19
CHICAGO,1,575,264,264,170,109,20
CHICAGO,1,580,260,260,165,107,21
CHICAGO,1,587,256,256,163,106,22
CHICAGO,1,549,252,252,159,104,23
CHICAGO,2,537,247,247,154,103,0
CHICAGO,2,537,243,243,150,102,1
CHICAGO,2,542,241,241,148,100,2
CHICAGO,2,555,239,239,145,100,3
CHICAGO,2,565,237,237,143,99,4
CHICAGO,2,578,234,234,140,99,5
CHICAGO,2,564,232,232,139,97,6
CHICAGO,2,552,232,232,137,98,7
CHICAGO,2,570,235,235,138,100,8
CHICAGO,2,569,247,247,148,108,9
CHICAGO,2,544,261,261,163,113,10
CHICAGO,2,550,276,276,179,119,11
CHICAGO,2,554,288,287,192,121,12
CHICAGO,2,568,295,295,202,120,13
CHICAGO,2,559,299,299,207,120,14
CHICAGO,2,584,299,299,207,119,15
CHICAGO,2,564,293,293,201,115,16
CHICAGO,2,574,283,283,191,111,17
CHICAGO,2,594,275,275,182,109,18
CHICAGO,2,595,270,270,177,108,19
CHICAGO,2,584,266,266,171,109,20
CHICAGO,2,584,261,261,167,108,21
CHICAGO,2,596,258,258,163,107,22
CHICAGO,2,557,253,253,160,105,23
CHICAGO,3,545,249,249,154,105,0
CHICAGO,3,531,244,244,150,103,1
CHICAGO,3,541,242,242,148,102,2
CHICAGO,3,552,239,239,145,101,3
CHICAGO,3,560,237,237,143,100,4
CHICAGO,3,579,234,234,139,100,5
CHICAGO,3,568,233,233,138,98,6
CHICAGO,3,546,232,232,137,99,7
CHICAGO,3,560,235,235,138,101,8
CHICAGO,3,565,247,247,147,109,9
CHICAGO,3,550,261,261,162,115,10
CHICAGO,3,560,276,275,177,121,11
CHICAGO,3,562,286,286,190,122,12
CHICAGO,3,576,294,294,200,122,13
CHICAGO,3,562,298,298,205,122,14
CHICAGO,3,581,298,297,204,122,15
CHICAGO,3,563,292,291,198,117,16
CHICAGO,3,570,281,281,188,112,17
CHICAGO,3,585,274,274,180,110,18
CHICAGO,3,596,269,269,174,111,19
CHICAGO,3,579,264,264,169,111,20
CHICAGO,3,576,260,260,164,110,21
CHICAGO,3,590,257,257,161,109,22
CHICAGO,3,555,253,253,158,107,23
CHICAGO,4,536,248,248,151,106,0
CHICAGO,4,520,243,243,147,106,1
CHICAGO,4,532,240,240,145,103,2
CHICAGO,4,543,238,238,142,103,3
CHICAGO,4,555,236,236,140,102,4
CHICAGO,4,571,233,233,136,102,5
CHICAGO,4,563,231,231,136,100,6
CHICAGO,4,540,230,230,133,101,7
