city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
COLUMBUS,1,666,306,306,243,80,0
COLUMBUS,1,679,301,301,237,79,1
COLUMBUS,1,688,299,299,234,80,2
COLUMBUS,1,679,296,296,232,79,3
COLUMBUS,1,653,294,294,229,79,4
COLUMBUS,1,662,290,290,224,79,5
COLUMBUS,1,660,288,288,223,80,6
COLUMBUS,1,658,286,286,218,81,7
COLUMBUS,1,680,285,285,217,80,8
COLUMBUS,1,659,291,291,221,84,9
COLUMBUS,1,664,305,305,230,94,10
COLUMBUS,1,641,319,319,243,100,11
COLUMBUS,1,613,331,331,257,105,12
COLUMBUS,1,632,341,341,268,107,13
COLUMBUS,1,658,349,348,278,107,14
COLUMBUS,1,655,352,352,282,106,15
COLUMBUS,1,635,351,351,282,103,16
COLUMBUS,1,664,346,346,278,96,17
COLUMBUS,1,667,335,335,271,87,18
COLUMBUS,1,675,329,329,264,84,19
COLUMBUS,1,664,324,323,259,85,20
COLUMBUS,1,658,319,319,254,83,21
COLUMBUS,1,640,314,314,250,82,22
COLUMBUS,1,653,311,311,248,82,23
COLUMBUS,2,661,308,308,245,79,0
COLUMBUS,2,678,303,303,239,79,1
COLUMBUS,2,688,300,300,236,81,2
COLUMBUS,2,688,298,298,234,80,3
COLUMBUS,2,660,295,295,231,79,4
COLUMBUS,2,667,292,292,226,80,5
COLUMBUS,2,668,290,290,224,80,6
COLUMBUS,2,666,288,288,220,80,7
COLUMBUS,2,682,286,286,218,80,8
COLUMBUS,2,661,293,292,222,84,9
COLUMBUS,2,673,306,306,231,94,10
COLUMBUS,2,645,320,320,245,101,11
COLUMBUS,2,614,333,333,259,106,12
COLUMBUS,2,631,343,343,270,107,13
COLUMBUS,2,661,351,350,280,107,14
COLUMBUS,2,662,354,354,284,107,15
COLUMBUS,2,640,353,352,283,103,16
COLUMBUS,2,673,348,347,280,96,17
COLUMBUS,2,673,337,337,272,88,18
COLUMBUS,2,684,330,330,265,85,19
COLUMBUS,2,673,325,325,260,85,20
COLUMBUS,2,663,320,320,255,84,21
COLUMBUS,2,651,315,315,251,82,22
COLUMBUS,2,657,313,313,249,82,23
COLUMBUS,3,674,309,309,246,80,0
COLUMBUS,3,692,305,305,241,80,1
COLUMBUS,3,701,302,302,237,82,2
COLUMBUS,3,707,300,300,235,82,3
