city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
DENVER,1,150,267,267,198,76,0
DENVER,1,162,263,263,191,78,1
DENVER,1,141,261,261,189,75,2
DENVER,1,160,258,258,187,76,3
DENVER,1,152,257,257,185,76,4
DENVER,1,141,257,257,184,75,5
DENVER,1,125,255,255,182,75,6
DENVER,1,111,256,256,182,77,7
DENVER,1,103,261,261,187,77,8
DENVER,1,118,301,301,236,79,9
DENVER,1,118,340,340,283,83,10
DENVER,1,107,370,370,320,83,11
DENVER,1,122,390,390,345,84,12
DENVER,1,125,400,400,357,85,13
DENVER,1,132,400,400,355,87,14
DENVER,1,142,392,392,344,85,15
DENVER,1,131,373,373,323,78,16
DENVER,1,153,333,333,278,73,17
DENVER,1,160,309,309,250,72,18
DENVER,1,159,296,295,234,74,19
DENVER,1,171,290,290,228,74,20
DENVER,1,172,283,282,219,75,21
DENVER,1,158,277,277,210,77,22
DENVER,1,148,274,273,205,78,23
DENVER,2,149,270,270,202,76,0
DENVER,2,164,266,266,195,77,1
DENVER,2,140,264,264,194,76,2
DENVER,2,162,261,261,191,76,3
DENVER,2,155,260,260,190,75,4
DENVER,2,141,259,259,189,75,5
DENVER,2,124,257,257,186,74,6
DENVER,2,112,258,258,185,76,7
DENVER,2,100,262,262,190,76,8
DENVER,2,121,302,302,237,79,9
DENVER,2,117,341,341,284,84,10
DENVER,2,113,370,370,320,83,11
DENVER,2,121,389,389,344,85,12
DENVER,2,124,399,399,357,86,13
DENVER,2,133,399,399,355,87,14
DENVER,2,145,391,391,344,86,15
DENVER,2,130,372,372,323,78,16
DENVER,2,150,333,333,279,73,17
DENVER,2,157,309,308,251,72,18
DENVER,2,159,295,295,235,73,19
DENVER,2,174,290,289,228,74,20
DENVER,2,176,283,282,218,75,21
DENVER,2,162,277,276,209,76,22
DENVER,2,152,273,273,205,78,23
DENVER,3,154,271,271,202,76,0
DENVER,3,164,266,266,195,77,1
DENVER,3,141,265,265,195,75,2
DENVER,3,158,261,261,191,76,3
DENVER,3,158,261,261,190,75,4
DENVER,3,143,260,260,189,74,5
DENVER,3,127,257,257,186,74,6
DENVER,3,108,258,258,186,77,7
DENVER,3,96,263,263,189,77,8
DENVER,3,121,303,303,238,80,9
DENVER,3,117,342,342,285,85,10
DENVER,3,116,370,370,320,85,11
DENVER,3,126,390,390,345,86,12
DENVER,3,127,399,399,356,88,13
DENVER,3,143,400,400,354,88,14
DENVER,3,155,391,391,342,87,15
DENVER,3,136,372,372,324,79,16
DENVER,3,150,334,334,281,72,17
DENVER,3,158,311,311,255,71,18
