city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
EL PASO,1,199,398,398,364,61,0
EL PASO,1,210,386,386,349,62,1
EL PASO,1,209,377,377,338,62,2
EL PASO,1,205,370,370,331,62,3
EL PASO,1,200,362,362,321,62,4
EL PASO,1,213,354,354,310,62,5
EL PASO,1,221,350,350,304,63,6
EL PASO,1,201,345,345,298,66,7
EL PASO,1,211,359,359,318,62,8
EL PASO,1,212,405,405,371,64,9
EL PASO,1,194,444,444,416,72,10
EL PASO,1,179,478,478,457,75,11
EL PASO,1,179,506,506,489,78,12
EL PASO,1,199,527,527,514,82,13
EL PASO,1,198,542,542,530,85,14
EL PASO,1,213,548,548,538,86,15
EL PASO,1,204,547,547,535,83,16
EL PASO,1,176,529,529,515,77,17
EL PASO,1,165,495,495,475,73,18
EL PASO,1,174,473,473,450,72,19
EL PASO,1,183,455,455,427,70,20
EL PASO,1,179,439,439,409,69,21
EL PASO,1,193,425,425,392,68,22
EL PASO,1,200,413,413,379,66,23
EL PASO,2,194,401,401,367,62,0
EL PASO,2,202,388,388,351,61,1
EL PASO,2,197,379,379,341,62,2
EL PASO,2,198,372,372,333,63,3
EL PASO,2,191,364,364,324,63,4
EL PASO,2,204,357,357,313,63,5
EL PASO,2,209,352,352,307,63,6
EL PASO,2,188,347,347,301,66,7
EL PASO,2,199,361,361,320,62,8
EL PASO,2,198,407,407,374,65,9
EL PASO,2,185,447,447,420,73,10
EL PASO,2,163,482,482,461,75,11
EL PASO,2,157,510,510,495,79,12
EL PASO,2,178,531,531,518,83,13
EL PASO,2,186,546,546,535,86,14
EL PASO,2,200,553,553,543,87,15
EL PASO,2,192,551,551,541,83,16
EL PASO,2,161,533,533,521,77,17
EL PASO,2,148,498,498,479,73,18
EL PASO,2,157,476,476,454,72,19
EL PASO,2,167,458,458,431,70,20
EL PASO,2,166,441,441,412,68,21
EL PASO,2,184,427,427,395,67,22
EL PASO,2,191,415,415,381,67,23
EL PASO,3,188,402,402,368,63,0
EL PASO,3,194,390,390,353,62,1
EL PASO,3,200,380,380,342,62,2
EL PASO,3,187,373,373,333,63,3
EL PASO,3,180,365,365,324,63,4
EL PASO,3,195,358,358,314,62,5
EL PASO,3,203,352,352,307,63,6
EL PASO,3,179,347,347,301,66,7
EL PASO,3,190,361,361,319,62,8
EL PASO,3,199,408,408,375,64,9
EL PASO,3,186,449,449,422,72,10
EL PASO,3,167,484,484,464,75,11
EL PASO,3,159,513,513,497,79,12
EL PASO,3,174,534,534,522,82,13
EL PASO,3,184,549,549,539,87,14
EL PASO,3,196,556,556,547,87,15
EL PASO,3,188,554,554,545,82,16
EL PASO,3,156,537,537,525,76,17
EL PASO,3,139,501,501,482,72,18
EL PASO,3,150,478,478,456,71,19
EL PASO,3,162,459,459,432,70,20
EL PASO,3,164,442,442,414,67,21
EL PASO,3,175,428,428,396,68,22
EL PASO,3,190,416,416,382,66,23
EL PASO,4,182,403,403,368,64,0
EL PASO,4,194,390,390,353,62,1
EL PASO,4,200,380,380,342,62,2
EL PASO,4,182,373,373,332,63,3
EL PASO,4,178,364,364,322,63,4
EL PASO,4,192,357,357,314,62,5
EL PASO,4,195,352,352,307,63,6
EL PASO,4,172,347,347,301,65,7
EL PASO,4,183,361,361,320,61,8
EL PASO,4,193,409,409,377,63,9
EL PASO,4,183,451,451,425,71,10
EL PASO,4,169,486,486,467,74,11
EL PASO,4,159,515,515,501,78,12
EL PASO,4,178,536,536,525,81,13
EL PASO,4,184,552,552,543,87,14
EL PASO,4,196,558,558,550,86,15
EL PASO,4,190,557,557,548,82,16
EL PASO,4,161,539,539,529,76,17
EL PASO,4,144,503,503,485,72,18
EL PASO,4,150,480,480,459,72,19
EL PASO,4,167,460,460,434,70,20
EL PASO,4,168,443,443,415,68,21
EL PASO,4,177,428,428,397,68,22
EL PASO,4,192,416,416,383,66,23
EL PASO,5,178,404,404,369,64,0
EL PASO,5,198,390,390,353,63,1
EL PASO,5,202,381,381,342,64,2
EL PASO,5,182,373,373,333,65,3
EL PASO,5,174,364,364,322,64,4
EL PASO,5,189,357,357,313,63,5
EL PASO,5,183,351,351,306,62,6
EL PASO,5,166,347,347,300,65,7
EL PASO,5,178,361,361,319,63,8
EL PASO,5,186,410,410,377,65,9
EL PASO,5,177,452,452,426,73,10
EL PASO,5,160,488,488,470,76,11
EL PASO,5,154,517,517,503,80,12
EL PASO,5,173,538,538,527,83,13
EL PASO,5,177,553,553,544,88,14
EL PASO,5,189,560,560,552,88,15
EL PASO,5,185,558,558,549,84,16
EL PASO,5,161,541,541,530,78,17
EL PASO,5,143,504,504,486,74,18
EL PASO,5,148,481,481,460,73,19
EL PASO,5,160,461,461,435,72,20
EL PASO,5,159,444,444,415,70,21
EL PASO,5,171,428,428,397,69,22
EL PASO,5,190,416,416,382,68,23
EL PASO,6,181,403,403,367,65,0
EL PASO,6,200,389,389,351,65,1
