city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
HOUSTON,1,465,488,488,469,66,0
HOUSTON,1,458,483,483,463,64,1
HOUSTON,1,472,478,478,457,62,2
HOUSTON,1,486,474,474,452,63,3
HOUSTON,1,484,470,470,448,61,4
HOUSTON,1,493,468,468,443,64,5
HOUSTON,1,501,464,464,440,63,6
HOUSTON,1,487,462,462,436,65,7
HOUSTON,1,517,467,467,439,69,8
HOUSTON,1,546,493,493,464,81,9
HOUSTON,1,529,522,522,498,92,10
HOUSTON,1,480,549,549,530,96,11
HOUSTON,1,490,571,571,556,97,12
HOUSTON,1,473,588,588,575,99,13
HOUSTON,1,435,599,598,587,103,14
HOUSTON,1,451,601,601,590,102,15
HOUSTON,1,451,598,598,586,99,16
HOUSTON,1,430,583,583,571,92,17
HOUSTON,1,456,553,552,539,78,18
HOUSTON,1,477,533,533,517,75,19
HOUSTON,1,480,521,521,505,74,20
HOUSTON,1,467,513,513,495,75,21
HOUSTON,1,479,505,505,486,72,22
HOUSTON,1,490,498,498,480,68,23
HOUSTON,2,470,490,490,472,66,0
HOUSTON,2,462,485,485,466,64,1
HOUSTON,2,477,480,480,460,62,2
HOUSTON,2,493,477,476,456,62,3
HOUSTON,2,493,473,473,451,61,4
HOUSTON,2,500,470,470,446,63,5
HOUSTON,2,506,467,467,443,63,6
HOUSTON,2,487,465,465,439,64,7
HOUSTON,2,509,470,470,443,68,8
HOUSTON,2,543,497,496,469,80,9
HOUSTON,2,529,526,526,502,92,10
HOUSTON,2,480,553,552,534,97,11
HOUSTON,2,483,575,575,560,98,12
HOUSTON,2,460,592,592,579,101,13
HOUSTON,2,420,603,603,591,103,14
HOUSTON,2,437,606,606,594,103,15
HOUSTON,2,439,602,602,590,100,16
HOUSTON,2,424,587,587,574,93,17
HOUSTON,2,448,557,557,544,79,18
HOUSTON,2,471,537,537,522,75,19
HOUSTON,2,473,525,525,509,74,20
HOUSTON,2,467,517,517,500,75,21
HOUSTON,2,483,509,509,491,73,22
HOUSTON,2,494,503,502,485,69,23
HOUSTON,3,468,494,494,476,66,0
HOUSTON,3,463,490,489,471,65,1
HOUSTON,3,474,484,484,464,62,2
HOUSTON,3,493,480,480,460,62,3
HOUSTON,3,489,476,476,455,60,4
HOUSTON,3,495,473,473,450,62,5
HOUSTON,3,507,470,470,446,63,6
HOUSTON,3,486,468,468,442,64,7
HOUSTON,3,506,472,472,446,68,8
HOUSTON,3,535,498,498,470,81,9
HOUSTON,3,524,527,527,503,93,10
HOUSTON,3,475,553,553,534,98,11
HOUSTON,3,487,576,576,561,98,12
HOUSTON,3,453,593,593,580,102,13
HOUSTON,3,413,604,604,592,104,14
HOUSTON,3,431,607,607,596,103,15
HOUSTON,3,430,603,603,591,102,16
HOUSTON,3,416,588,588,576,95,17
HOUSTON,3,436,558,558,545,80,18
HOUSTON,3,450,538,538,522,76,19
HOUSTON,3,454,526,526,510,75,20
HOUSTON,3,454,517,517,500,76,21
HOUSTON,3,464,509,509,490,74,22
HOUSTON,3,485,502,502,484,70,23
HOUSTON,4,464,494,494,475,67,0
HOUSTON,4,452,489,489,469,65,1
HOUSTON,4,473,483,483,463,63,2
HOUSTON,4,483,479,479,459,62,3
HOUSTON,4,478,474,474,453,61,4
HOUSTON,4,488,471,471,448,62,5
HOUSTON,4,505,468,468,445,62,6
HOUSTON,4,486,466,466,440,64,7
HOUSTON,4,508,471,471,444,68,8
HOUSTON,4,533,496,496,467,81,9
HOUSTON,4,524,524,524,500,93,10
HOUSTON,4,473,551,551,531,99,11
HOUSTON,4,481,574,574,558,99,12
HOUSTON,4,451,591,591,578,101,13
HOUSTON,4,412,603,603,591,104,14
HOUSTON,4,422,606,606,595,102,15
HOUSTON,4,417,603,603,592,101,16
HOUSTON,4,396,588,588,576,95,17
HOUSTON,4,425,557,557,543,80,18
HOUSTON,4,438,537,537,521,75,19
HOUSTON,4,445,525,525,508,76,20
HOUSTON,4,445,516,516,498,75,21
HOUSTON,4,457,508,508,489,75,22
HOUSTON,4,477,501,501,483,69,23
HOUSTON,5,459,492,492,474,67,0
HOUSTON,5,450,487,487,467,66,1
HOUSTON,5,466,482,482,461,63,2
HOUSTON,5,478,478,478,457,63,3
HOUSTON,5,473,473,473,452,61,4
HOUSTON,5,482,470,470,447,63,5
HOUSTON,5,496,468,468,444,62,6
HOUSTON,5,481,466,466,440,65,7
HOUSTON,5,505,470,470,443,69,8
HOUSTON,5,539,496,496,467,81,9
HOUSTON,5,534,525,525,500,92,10
HOUSTON,5,484,552,552,532,99,11
HOUSTON,5,494,575,575,559,98,12
HOUSTON,5,463,592,592,577,102,13
HOUSTON,5,426,603,603,590,104,14
HOUSTON,5,432,607,606,595,102,15
HOUSTON,5,423,603,603,591,101,16
HOUSTON,5,407,589,589,576,94,17
HOUSTON,5,438,558,558,544,80,18
HOUSTON,5,444,537,537,521,75,19
HOUSTON,5,455,526,526,509,75,20
HOUSTON,5,453,516,516,498,75,21
HOUSTON,5,460,508,508,489,75,22
HOUSTON,5,491,501,501,483,69,23
HOUSTON,6,472,492,492,474,66,0
HOUSTON,6,458,487,487,467,66,1
HOUSTON,6,465,481,481,461,63,2
HOUSTON,6,478,477,477,455,63,3
HOUSTON,6,472,473,473,451,61,4
HOUSTON,6,494,469,469,446,63,5
HOUSTON,6,500,466,466,442,63,6
HOUSTON,6,486,465,465,439,65,7
HOUSTON,6,505,469,469,442,69,8
HOUSTON,6,538,495,495,466,81,9
HOUSTON,6,528,524,524,499,93,10
HOUSTON,6,486,550,550,530,99,11
HOUSTON,6,494,572,572,556,99,12
HOUSTON,6,461,589,589,574,102,13
HOUSTON,6,427,600,600,587,105,14
HOUSTON,6,433,604,604,592,102,15
HOUSTON,6,420,601,601,589,102,16
HOUSTON,6,405,587,587,574,95,17
HOUSTON,6,436,556,556,541,81,18
HOUSTON,6,439,535,535,518,76,19
HOUSTON,6,456,524,524,506,76,20
HOUSTON,6,454,514,514,496,75,21
HOUSTON,6,458,506,506,486,74,22
HOUSTON,6,489,498,498,479,69,23
HOUSTON,7,474,490,490,470,66,0
HOUSTON,7,449,484,484,463,66,1
HOUSTON,7,465,478,478,458,63,2
HOUSTON,7,476,474,474,451,63,3
HOUSTON,7,463,469,469,446,62,4
HOUSTON,7,486,466,466,442,63,5
HOUSTON,7,492,463,463,438,63,6
HOUSTON,7,479,461,461,435,65,7
HOUSTON,7,493,465,465,438,69,8
HOUSTON,7,530,491,491,462,82,9
HOUSTON,7,511,521,521,496,93,10
HOUSTON,7,477,548,548,528,99,11
HOUSTON,7,480,570,570,554,99,12
HOUSTON,7,447,588,588,573,102,13
HOUSTON,7,416,599,599,586,104,14
HOUSTON,7,414,603,603,591,102,15
HOUSTON,7,417,600,600,588,102,16
HOUSTON,7,408,586,586,573,95,17
HOUSTON,7,436,555,555,540,81,18
HOUSTON,7,435,534,534,517,75,19
HOUSTON,7,454,522,522,504,76,20
HOUSTON,7,448,512,512,492,75,21
HOUSTON,7,449,503,503,484,74,22
HOUSTON,7,484,496,496,476,69,23
HOUSTON,8,472,487,487,467,66,0
HOUSTON,8,444,481,481,461,65,1
HOUSTON,8,455,475,475,454,63,2
HOUSTON,8,467,470,470,448,61,3
HOUSTON,8,445,465,465,441,61,4
HOUSTON,8,469,461,461,437,62,5
HOUSTON,8,475,458,458,434,61,6
HOUSTON,8,461,457,457,431,63,7
HOUSTON,8,479,461,461,433,67,8
HOUSTON,8,521,488,488,459,81,9
HOUSTON,8,500,519,519,494,93,10
HOUSTON,8,482,546,546,526,98,11
HOUSTON,8,474,569,569,553,99,12
HOUSTON,8,451,587,587,572,101,13
HOUSTON,8,423,598,598,586,103,14
HOUSTON,8,411,602,602,591,102,15
HOUSTON,8,417,599,599,587,101,16
HOUSTON,8,408,585,585,573,95,17
HOUSTON,8,431,555,555,540,82,18
HOUSTON,8,424,533,533,516,76,19
HOUSTON,8,442,521,521,503,77,20
HOUSTON,8,444,511,511,491,75,21
HOUSTON,8,445,503,503,482,75,22
HOUSTON,8,480,495,495,475,69,23
HOUSTON,9,458,487,487,466,66,0
HOUSTON,9,433,481,481,460,65,1
HOUSTON,9,454,474,474,454,62,2
HOUSTON,9,466,469,469,448,61,3
HOUSTON,9,450,465,465,441,61,4
HOUSTON,9,472,461,461,436,62,5
HOUSTON,9,478,458,458,434,62,6
HOUSTON,9,463,456,456,430,64,7
HOUSTON,9,476,461,461,434,68,8
HOUSTON,9,510,489,489,460,82,9
HOUSTON,9,489,520,519,495,93,10
HOUSTON,9,475,547,547,528,97,11
HOUSTON,9,471,570,570,554,100,12
HOUSTON,9,450,587,587,573,101,13
HOUSTON,9,424,599,598,586,103,14
HOUSTON,9,420,602,602,591,102,15
HOUSTON,9,421,599,599,587,101,16
HOUSTON,9,408,585,585,572,96,17
HOUSTON,9,428,555,555,541,82,18
HOUSTON,9,424,533,533,516,76,19
HOUSTON,9,439,521,521,503,77,20
HOUSTON,9,444,511,511,491,75,21
HOUSTON,9,439,503,503,483,74,22
HOUSTON,9,471,495,495,475,69,23
HOUSTON,10,448,487,487,467,65,0
HOUSTON,10,427,481,481,461,64,1
HOUSTON,10,447,475,475,455,62,2
HOUSTON,10,459,470,470,449,60,3
HOUSTON,10,447,465,465,443,60,4
HOUSTON,10,471,461,461,437,62,5
HOUSTON,10,479,458,458,434,61,6
HOUSTON,10,453,456,456,430,64,7
HOUSTON,10,470,461,461,434,68,8
HOUSTON,10,500,489,489,461,82,9
HOUSTON,10,485,520,520,496,93,10
HOUSTON,10,475,547,547,528,97,11
HOUSTON,10,474,570,570,554,99,12
HOUSTON,10,450,586,586,573,100,13
HOUSTON,10,433,598,598,586,102,14
HOUSTON,10,435,602,602,591,102,15
HOUSTON,10,431,598,598,587,100,16
HOUSTON,10,423,585,585,573,96,17
HOUSTON,10,432,555,555,541,82,18
HOUSTON,10,436,533,533,516,75,19
HOUSTON,10,444,521,521,503,76,20
HOUSTON,10,449,511,511,491,75,21
HOUSTON,10,442,503,503,483,73,22
HOUSTON,10,470,495,495,475,68,23
HOUSTON,11,455,487,487,467,65,0
HOUSTON,11,431,481,481,461,63,1
HOUSTON,11,454,475,475,455,62,2
HOUSTON,11,466,470,470,449,59,3
HOUSTON,11,457,465,465,442,61,4
HOUSTON,11,480,461,461,437,62,5
HOUSTON,11,486,458,458,434,61,6
HOUSTON,11,459,456,456,431,63,7
HOUSTON,11,475,460,460,434,68,8
HOUSTON,11,513,488,488,459,82,9
HOUSTON,11,501,518,518,494,93,10
HOUSTON,11,493,545,545,526,98,11
HOUSTON,11,497,567,567,551,100,12
HOUSTON,11,468,584,584,570,100,13
HOUSTON,11,452,595,595,583,103,14
HOUSTON,11,453,600,600,589,102,15
HOUSTON,11,442,596,596,584,101,16
HOUSTON,11,439,583,583,570,97,17
HOUSTON,11,443,554,554,539,82,18
HOUSTON,11,445,532,532,515,76,19
HOUSTON,11,458,520,520,501,77,20
HOUSTON,11,460,510,510,490,75,21
HOUSTON,11,449,502,502,481,73,22
HOUSTON,11,473,494,494,473,69,23
HOUSTON,12,464,486,486,465,65,0
HOUSTON,12,446,480,480,460,64,1
HOUSTON,12,455,474,474,454,62,2
HOUSTON,12,466,469,469,448,59,3
HOUSTON,12,458,464,464,441,60,4
HOUSTON,12,491,461,461,437,62,5
HOUSTON,12,501,458,457,434,62,6
HOUSTON,12,469,455,455,429,64,7
HOUSTON,12,477,460,460,432,69,8
HOUSTON,12,513,487,487,458,82,9
HOUSTON,12,502,517,517,492,94,10
HOUSTON,12,492,544,544,525,98,11
HOUSTON,12,498,566,566,550,101,12
HOUSTON,12,469,583,583,569,101,13
HOUSTON,12,449,594,594,582,103,14
HOUSTON,12,453,599,599,588,103,15
HOUSTON,12,444,596,596,584,102,16
HOUSTON,12,438,583,583,570,97,17
HOUSTON,12,448,554,554,539,82,18
HOUSTON,12,444,533,533,515,76,19
HOUSTON,12,456,521,521,502,77,20
HOUSTON,12,460,511,511,490,74,21
HOUSTON,12,452,503,503,482,72,22
HOUSTON,12,472,495,495,474,69,23
HOUSTON,13,469,487,487,466,64,0
HOUSTON,13,461,482,482,461,64,1
HOUSTON,13,464,475,475,454,62,2
HOUSTON,13,477,470,470,448,60,3
HOUSTON,13,465,466,466,442,60,4
HOUSTON,13,498,462,462,438,62,5
HOUSTON,13,518,459,459,434,63,6
HOUSTON,13,479,456,456,430,64,7
HOUSTON,13,490,460,460,433,70,8
HOUSTON,13,522,487,487,458,83,9
HOUSTON,13,509,516,516,491,94,10
HOUSTON,13,497,543,543,523,99,11
HOUSTON,13,498,565,565,548,101,12
HOUSTON,13,472,582,582,567,102,13
HOUSTON,13,447,593,593,580,104,14
HOUSTON,13,455,598,598,585,105,15
HOUSTON,13,446,594,594,582,103,16
HOUSTON,13,439,582,582,568,98,17
HOUSTON,13,444,554,554,539,83,18
HOUSTON,13,448,532,532,515,75,19
HOUSTON,13,459,520,520,502,76,20
HOUSTON,13,466,510,510,490,74,21
HOUSTON,13,455,502,502,481,72,22
HOUSTON,13,477,494,494,473,68,23
HOUSTON,14,468,486,486,465,64,0
HOUSTON,14,466,480,480,459,63,1
