city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
INDIANAPOLIS,1,654,291,291,210,101,0
INDIANAPOLIS,1,650,287,287,205,101,1
INDIANAPOLIS,1,642,284,284,202,100,2
INDIANAPOLIS,1,642,281,281,201,97,3
INDIANAPOLIS,1,622,277,277,194,99,4
INDIANAPOLIS,1,640,275,275,192,99,5
INDIANAPOLIS,1,640,272,272,189,96,6
INDIANAPOLIS,1,639,271,271,187,98,7
INDIANAPOLIS,1,632,270,270,186,97,8
INDIANAPOLIS,1,628,275,275,192,97,9
INDIANAPOLIS,1,629,288,288,204,103,10
INDIANAPOLIS,1,620,305,305,222,110,11
INDIANAPOLIS,1,626,319,319,237,116,12
INDIANAPOLIS,1,651,332,332,253,115,13
INDIANAPOLIS,1,665,340,340,263,117,14
INDIANAPOLIS,1,646,345,344,268,119,15
INDIANAPOLIS,1,645,344,344,267,117,16
INDIANAPOLIS,1,641,336,336,259,111,17
INDIANAPOLIS,1,632,323,323,246,104,18
INDIANAPOLIS,1,656,316,316,240,101,19
INDIANAPOLIS,1,652,311,311,234,103,20
INDIANAPOLIS,1,655,306,306,229,102,21
INDIANAPOLIS,1,646,302,302,223,103,22
INDIANAPOLIS,1,649,298,298,219,101,23
INDIANAPOLIS,2,660,294,294,214,101,0
INDIANAPOLIS,2,656,290,290,209,101,1
INDIANAPOLIS,2,648,287,287,206,100,2
INDIANAPOLIS,2,644,284,284,204,97,3
INDIANAPOLIS,2,630,280,280,199,99,4
INDIANAPOLIS,2,649,278,278,195,99,5
INDIANAPOLIS,2,652,275,275,192,97,6
INDIANAPOLIS,2,645,273,273,189,99,7
INDIANAPOLIS,2,639,272,272,188,98,8
INDIANAPOLIS,2,627,277,277,194,98,9
INDIANAPOLIS,2,640,289,289,205,105,10
INDIANAPOLIS,2,615,307,307,223,111,11
INDIANAPOLIS,2,632,321,321,239,116,12
INDIANAPOLIS,2,658,334,333,255,116,13
INDIANAPOLIS,2,670,342,342,265,117,14
INDIANAPOLIS,2,652,346,346,270,119,15
INDIANAPOLIS,2,652,345,345,269,117,16
INDIANAPOLIS,2,649,337,337,261,112,17
INDIANAPOLIS,2,647,324,324,247,105,18
INDIANAPOLIS,2,680,318,318,242,102,19
INDIANAPOLIS,2,675,313,313,235,104,20
INDIANAPOLIS,2,670,308,308,230,104,21
INDIANAPOLIS,2,662,304,304,224,105,22
INDIANAPOLIS,2,668,300,300,220,102,23
INDIANAPOLIS,3,670,296,296,215,103,0
INDIANAPOLIS,3,660,292,292,210,103,1
INDIANAPOLIS,3,654,288,288,206,101,2
INDIANAPOLIS,3,651,285,285,204,99,3
INDIANAPOLIS,3,637,281,281,199,100,4
