city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
JACKSONVILLE,1,297,495,495,480,50,0
JACKSONVILLE,1,317,490,489,474,52,1
JACKSONVILLE,1,313,484,484,467,51,2
JACKSONVILLE,1,336,479,479,462,49,3
JACKSONVILLE,1,370,475,475,457,52,4
JACKSONVILLE,1,340,471,471,453,50,5
JACKSONVILLE,1,354,468,468,449,52,6
JACKSONVILLE,1,353,466,466,446,51,7
JACKSONVILLE,1,373,469,469,450,53,8
JACKSONVILLE,1,381,501,501,479,66,9
JACKSONVILLE,1,359,542,542,523,81,10
JACKSONVILLE,1,339,579,579,566,90,11
JACKSONVILLE,1,321,603,603,592,99,12
JACKSONVILLE,1,303,618,617,609,104,13
JACKSONVILLE,1,288,628,627,620,103,14
JACKSONVILLE,1,287,631,630,623,105,15
JACKSONVILLE,1,294,625,625,617,101,16
JACKSONVILLE,1,296,604,604,596,90,17
JACKSONVILLE,1,306,564,564,553,70,18
JACKSONVILLE,1,297,539,539,528,61,19
JACKSONVILLE,1,317,524,524,513,57,20
JACKSONVILLE,1,316,512,512,500,53,21
JACKSONVILLE,1,297,505,505,492,52,22
JACKSONVILLE,1,304,499,499,484,52,23
JACKSONVILLE,2,296,492,492,478,49,0
JACKSONVILLE,2,311,487,487,471,50,1
JACKSONVILLE,2,309,481,481,464,49,2
JACKSONVILLE,2,338,477,477,459,48,3
JACKSONVILLE,2,377,473,473,455,51,4
JACKSONVILLE,2,350,469,469,451,48,5
JACKSONVILLE,2,362,466,466,448,50,6
JACKSONVILLE,2,358,464,464,445,50,7
JACKSONVILLE,2,366,468,468,448,52,8
JACKSONVILLE,2,373,500,500,479,64,9
JACKSONVILLE,2,351,542,541,524,79,10
JACKSONVILLE,2,328,579,579,567,89,11
JACKSONVILLE,2,314,604,604,594,98,12
JACKSONVILLE,2,300,620,619,612,103,13
JACKSONVILLE,2,287,630,629,623,102,14
JACKSONVILLE,2,283,633,631,625,104,15
JACKSONVILLE,2,302,626,626,619,101,16
JACKSONVILLE,2,296,605,605,598,90,17
JACKSONVILLE,2,300,565,565,555,69,18
JACKSONVILLE,2,295,540,540,530,61,19
JACKSONVILLE,2,313,526,526,515,57,20
JACKSONVILLE,2,321,514,514,502,53,21
JACKSONVILLE,2,304,507,507,494,52,22
JACKSONVILLE,2,304,500,500,486,52,23
JACKSONVILLE,3,297,494,494,479,49,0
JACKSONVILLE,3,313,488,488,473,51,1
JACKSONVILLE,3,319,483,482,466,49,2
JACKSONVILLE,3,340,478,478,462,48,3
JACKSONVILLE,3,387,475,475,458,50,4
JACKSONVILLE,3,360,472,472,454,48,5
JACKSONVILLE,3,365,468,468,450,50,6
JACKSONVILLE,3,363,466,466,448,50,7
JACKSONVILLE,3,374,470,470,451,52,8
JACKSONVILLE,3,376,502,502,482,64,9
JACKSONVILLE,3,347,544,544,527,79,10
JACKSONVILLE,3,329,582,582,570,89,11
JACKSONVILLE,3,317,607,607,598,98,12
JACKSONVILLE,3,298,623,622,615,102,13
JACKSONVILLE,3,294,633,632,626,103,14
JACKSONVILLE,3,288,636,635,629,105,15
JACKSONVILLE,3,300,629,629,623,102,16
JACKSONVILLE,3,297,608,608,601,90,17
JACKSONVILLE,3,303,568,568,558,70,18
JACKSONVILLE,3,294,543,542,533,60,19
JACKSONVILLE,3,307,528,528,518,57,20
JACKSONVILLE,3,317,516,516,504,53,21
JACKSONVILLE,3,298,509,509,496,52,22
JACKSONVILLE,3,303,502,502,488,53,23
JACKSONVILLE,4,296,495,495,481,50,0
JACKSONVILLE,4,306,490,489,474,51,1
JACKSONVILLE,4,309,484,483,468,50,2
JACKSONVILLE,4,332,479,479,462,49,3
JACKSONVILLE,4,380,476,476,458,51,4
JACKSONVILLE,4,357,473,473,455,49,5
JACKSONVILLE,4,363,469,469,451,51,6
JACKSONVILLE,4,362,467,467,448,51,7
JACKSONVILLE,4,369,470,470,450,54,8
JACKSONVILLE,4,370,502,502,481,66,9
JACKSONVILLE,4,338,544,544,526,81,10
JACKSONVILLE,4,326,581,581,569,90,11
JACKSONVILLE,4,310,607,606,596,99,12
JACKSONVILLE,4,292,621,621,613,103,13
JACKSONVILLE,4,289,632,631,624,104,14
JACKSONVILLE,4,283,635,635,628,105,15
JACKSONVILLE,4,298,629,628,621,102,16
JACKSONVILLE,4,290,608,608,600,90,17
JACKSONVILLE,4,303,568,568,558,69,18
JACKSONVILLE,4,287,543,542,532,60,19
JACKSONVILLE,4,300,527,527,517,56,20
JACKSONVILLE,4,309,515,515,503,52,21
JACKSONVILLE,4,291,508,508,496,52,22
JACKSONVILLE,4,297,501,501,486,53,23
JACKSONVILLE,5,295,494,494,480,51,0
JACKSONVILLE,5,303,489,488,473,52,1
JACKSONVILLE,5,306,483,483,467,50,2
JACKSONVILLE,5,329,478,478,461,50,3
JACKSONVILLE,5,374,475,475,457,52,4
JACKSONVILLE,5,353,471,471,453,50,5
JACKSONVILLE,5,354,467,467,449,52,6
JACKSONVILLE,5,351,465,465,446,52,7
JACKSONVILLE,5,361,468,468,448,54,8
JACKSONVILLE,5,368,500,500,479,66,9
JACKSONVILLE,5,331,541,541,522,81,10
JACKSONVILLE,5,324,579,579,566,90,11
JACKSONVILLE,5,306,604,604,593,100,12
JACKSONVILLE,5,289,620,620,610,104,13
JACKSONVILLE,5,283,630,629,622,105,14
JACKSONVILLE,5,283,634,633,626,106,15
JACKSONVILLE,5,301,626,626,618,103,16
JACKSONVILLE,5,290,606,606,597,92,17
JACKSONVILLE,5,306,566,566,555,71,18
JACKSONVILLE,5,290,540,540,529,61,19
JACKSONVILLE,5,300,525,525,514,58,20
JACKSONVILLE,5,310,513,513,500,54,21
