city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
LAS VEGAS,1,182,421,421,382,73,0
LAS VEGAS,1,187,412,412,372,70,1
LAS VEGAS,1,189,408,408,366,71,2
LAS VEGAS,1,178,401,401,359,68,3
LAS VEGAS,1,170,396,396,352,69,4
LAS VEGAS,1,181,391,391,347,69,5
LAS VEGAS,1,201,388,388,345,69,6
LAS VEGAS,1,192,386,386,343,69,7
LAS VEGAS,1,202,404,404,366,65,8
LAS VEGAS,1,225,446,446,424,53,9
LAS VEGAS,1,221,479,479,463,56,10
LAS VEGAS,1,238,505,505,491,64,11
LAS VEGAS,1,237,522,522,511,67,12
LAS VEGAS,1,251,536,536,526,70,13
LAS VEGAS,1,247,546,546,535,69,14
LAS VEGAS,1,252,549,549,540,71,15
LAS VEGAS,1,244,541,541,530,68,16
LAS VEGAS,1,222,518,518,504,62,17
LAS VEGAS,1,186,495,495,477,65,18
LAS VEGAS,1,209,471,471,442,76,19
LAS VEGAS,1,179,457,457,424,74,20
LAS VEGAS,1,181,446,446,413,74,21
LAS VEGAS,1,180,436,436,402,73,22
LAS VEGAS,1,175,429,429,394,70,23
LAS VEGAS,2,179,422,422,383,71,0
LAS VEGAS,2,185,413,413,374,69,1
LAS VEGAS,2,185,409,409,368,71,2
LAS VEGAS,2,171,402,402,360,67,3
LAS VEGAS,2,160,396,396,354,68,4
LAS VEGAS,2,173,392,392,349,69,5
LAS VEGAS,2,194,389,389,347,68,6
LAS VEGAS,2,187,387,387,345,68,7
LAS VEGAS,2,212,405,405,369,64,8
LAS VEGAS,2,227,448,448,426,53,9
LAS VEGAS,2,226,481,481,465,54,10
LAS VEGAS,2,240,506,506,493,62,11
LAS VEGAS,2,240,524,524,513,66,12
LAS VEGAS,2,255,538,538,528,69,13
LAS VEGAS,2,254,547,547,538,67,14
LAS VEGAS,2,257,551,551,542,69,15
LAS VEGAS,2,242,543,543,533,67,16
LAS VEGAS,2,220,520,520,507,61,17
LAS VEGAS,2,188,497,497,480,65,18
LAS VEGAS,2,209,473,473,446,76,19
LAS VEGAS,2,182,459,459,427,73,20
LAS VEGAS,2,186,449,449,415,74,21
