city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
LOS ANGELES,1,258,542,542,538,56,0
LOS ANGELES,1,241,533,533,528,56,1
LOS ANGELES,1,232,523,523,516,51,2
LOS ANGELES,1,232,515,515,506,49,3
LOS ANGELES,1,245,508,508,499,49,4
LOS ANGELES,1,256,504,504,494,49,5
LOS ANGELES,1,257,502,502,492,49,6
LOS ANGELES,1,249,506,506,494,55,7
LOS ANGELES,1,277,522,522,513,57,8
LOS ANGELES,1,250,553,553,549,62,9
LOS ANGELES,1,268,586,586,584,64,10
LOS ANGELES,1,267,612,612,612,64,11
LOS ANGELES,1,244,628,628,627,69,12
LOS ANGELES,1,264,631,631,630,85,13
LOS ANGELES,1,254,626,626,625,94,14
LOS ANGELES,1,281,616,616,616,97,15
LOS ANGELES,1,271,604,604,604,94,16
LOS ANGELES,1,255,584,584,583,84,17
LOS ANGELES,1,242,574,574,573,74,18
LOS ANGELES,1,231,569,569,567,66,19
LOS ANGELES,1,232,567,567,565,58,20
LOS ANGELES,1,256,563,563,561,54,21
LOS ANGELES,1,271,555,555,552,53,22
LOS ANGELES,1,241,551,551,547,56,23
LOS ANGELES,2,263,543,543,539,55,0
LOS ANGELES,2,243,534,534,528,56,1
LOS ANGELES,2,237,524,524,518,51,2
LOS ANGELES,2,239,516,516,508,48,3
LOS ANGELES,2,251,509,509,501,47,4
LOS ANGELES,2,262,506,506,496,49,5
LOS ANGELES,2,265,503,503,493,50,6
LOS ANGELES,2,251,508,508,496,55,7
LOS ANGELES,2,273,523,523,515,57,8
LOS ANGELES,2,245,554,554,550,62,9
LOS ANGELES,2,264,586,586,585,64,10
LOS ANGELES,2,268,612,612,612,63,11
LOS ANGELES,2,251,628,628,627,68,12
LOS ANGELES,2,266,630,630,630,84,13
LOS ANGELES,2,261,626,626,625,93,14
LOS ANGELES,2,283,616,616,616,96,15
LOS ANGELES,2,269,604,604,604,93,16
LOS ANGELES,2,260,584,584,583,83,17
LOS ANGELES,2,242,575,575,573,73,18
LOS ANGELES,2,229,570,570,569,65,19
LOS ANGELES,2,229,568,568,566,57,20
LOS ANGELES,2,252,565,565,562,55,21
LOS ANGELES,2,267,556,556,553,54,22
LOS ANGELES,2,235,552,552,549,57,23
LOS ANGELES,3,252,544,544,541,55,0
LOS ANGELES,3,240,535,535,531,55,1
LOS ANGELES,3,233,525,525,519,51,2
LOS ANGELES,3,242,517,517,510,48,3
LOS ANGELES,3,252,511,511,503,48,4
LOS ANGELES,3,262,508,508,499,48,5
LOS ANGELES,3,265,506,506,496,50,6
LOS ANGELES,3,250,510,510,500,54,7
LOS ANGELES,3,271,525,525,518,57,8
LOS ANGELES,3,248,556,556,553,62,9
LOS ANGELES,3,265,588,588,587,65,10
LOS ANGELES,3,270,615,615,614,63,11
LOS ANGELES,3,258,630,630,630,68,12
LOS ANGELES,3,266,633,632,632,85,13
LOS ANGELES,3,265,627,627,627,93,14
LOS ANGELES,3,283,618,618,618,96,15
LOS ANGELES,3,265,606,606,606,92,16
LOS ANGELES,3,255,586,586,586,83,17
LOS ANGELES,3,232,577,577,575,73,18
LOS ANGELES,3,220,572,572,571,65,19
LOS ANGELES,3,222,570,570,569,57,20
LOS ANGELES,3,250,566,566,564,55,21
LOS ANGELES,3,266,559,559,556,53,22
LOS ANGELES,3,241,555,555,552,56,23
LOS ANGELES,4,255,547,547,543,55,0
LOS ANGELES,4,234,538,538,534,55,1
LOS ANGELES,4,228,527,527,522,51,2
LOS ANGELES,4,240,520,520,513,49,3
LOS ANGELES,4,252,513,513,505,48,4
LOS ANGELES,4,259,510,510,501,50,5
LOS ANGELES,4,270,508,508,498,51,6
LOS ANGELES,4,243,512,512,502,54,7
LOS ANGELES,4,264,527,527,520,58,8
LOS ANGELES,4,245,559,558,555,62,9
LOS ANGELES,4,266,591,591,589,65,10
LOS ANGELES,4,263,618,617,617,64,11
LOS ANGELES,4,246,633,633,632,69,12
LOS ANGELES,4,248,635,635,634,85,13
LOS ANGELES,4,253,630,630,629,92,14
LOS ANGELES,4,274,620,620,620,96,15
LOS ANGELES,4,249,608,608,608,92,16
LOS ANGELES,4,239,588,588,587,83,17
LOS ANGELES,4,225,578,578,577,73,18
LOS ANGELES,4,213,574,574,573,64,19
LOS ANGELES,4,209,572,572,570,57,20
LOS ANGELES,4,234,568,568,566,55,21
LOS ANGELES,4,255,560,560,558,53,22
LOS ANGELES,4,234,556,556,554,56,23
LOS ANGELES,5,243,548,548,545,54,0
LOS ANGELES,5,227,539,539,534,55,1
LOS ANGELES,5,223,528,528,522,51,2
LOS ANGELES,5,240,522,522,515,49,3
LOS ANGELES,5,255,514,514,506,48,4
LOS ANGELES,5,255,511,511,502,50,5
LOS ANGELES,5,266,509,509,499,51,6
LOS ANGELES,5,248,514,514,504,54,7
LOS ANGELES,5,266,528,528,522,58,8
LOS ANGELES,5,248,560,560,556,62,9
LOS ANGELES,5,260,592,592,590,65,10
LOS ANGELES,5,268,619,619,619,64,11
LOS ANGELES,5,246,634,634,634,70,12
LOS ANGELES,5,249,636,636,635,85,13
LOS ANGELES,5,244,631,631,631,93,14
LOS ANGELES,5,263,621,621,621,96,15
LOS ANGELES,5,242,609,609,609,92,16
LOS ANGELES,5,229,589,589,589,83,17
LOS ANGELES,5,217,579,579,578,73,18
LOS ANGELES,5,209,575,575,574,64,19
LOS ANGELES,5,214,573,573,571,58,20
LOS ANGELES,5,234,568,568,567,55,21
LOS ANGELES,5,247,561,561,558,53,22
LOS ANGELES,5,233,557,557,554,56,23
LOS ANGELES,6,241,549,549,545,53,0
LOS ANGELES,6,225,540,540,535,54,1
LOS ANGELES,6,221,529,529,523,51,2
LOS ANGELES,6,233,522,522,515,49,3
