city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
MEMPHIS,1,482,397,397,351,84,0
MEMPHIS,1,473,391,391,346,80,1
MEMPHIS,1,483,386,386,340,78,2
MEMPHIS,1,470,382,382,336,79,3
MEMPHIS,1,468,380,380,329,85,4
MEMPHIS,1,485,375,375,326,81,5
MEMPHIS,1,501,373,373,324,82,6
MEMPHIS,1,491,371,371,322,81,7
MEMPHIS,1,512,378,378,329,83,8
MEMPHIS,1,499,398,398,344,95,9
MEMPHIS,1,521,419,419,369,100,10
MEMPHIS,1,481,438,438,393,101,11
MEMPHIS,1,490,453,453,411,103,12
MEMPHIS,1,481,466,465,428,103,13
MEMPHIS,1,461,472,472,436,103,14
MEMPHIS,1,465,474,474,438,104,15
MEMPHIS,1,479,469,469,431,100,16
MEMPHIS,1,485,452,452,412,91,17
MEMPHIS,1,503,439,438,398,85,18
MEMPHIS,1,488,427,427,385,85,19
MEMPHIS,1,472,419,419,377,81,20
MEMPHIS,1,465,413,412,370,80,21
MEMPHIS,1,461,407,407,365,79,22
MEMPHIS,1,467,402,402,360,79,23
MEMPHIS,2,485,399,399,354,83,0
MEMPHIS,2,476,393,393,349,79,1
MEMPHIS,2,489,388,388,343,77,2
MEMPHIS,2,470,385,385,340,78,3
MEMPHIS,2,466,383,383,333,84,4
MEMPHIS,2,483,378,378,329,80,5
MEMPHIS,2,494,375,375,327,80,6
MEMPHIS,2,482,374,374,325,80,7
MEMPHIS,2,499,381,381,332,82,8
MEMPHIS,2,483,401,401,349,95,9
MEMPHIS,2,507,423,423,374,100,10
MEMPHIS,2,470,442,442,397,101,11
MEMPHIS,2,483,457,457,417,104,12
MEMPHIS,2,476,469,469,433,103,13
MEMPHIS,2,468,476,476,440,104,14
MEMPHIS,2,475,478,478,443,105,15
MEMPHIS,2,479,472,472,435,101,16
MEMPHIS,2,491,455,455,416,91,17
MEMPHIS,2,507,442,442,402,85,18
MEMPHIS,2,490,431,430,389,86,19
MEMPHIS,2,479,423,422,381,82,20
MEMPHIS,2,472,417,416,375,81,21
MEMPHIS,2,466,411,411,370,80,22
MEMPHIS,2,472,406,406,364,80,23
MEMPHIS,3,483,403,403,358,84,0
MEMPHIS,3,477,397,397,353,81,1
MEMPHIS,3,491,391,391,346,79,2
MEMPHIS,3,470,388,387,342,79,3
MEMPHIS,3,468,385,385,335,85,4
MEMPHIS,3,490,380,380,332,81,5
MEMPHIS,3,495,377,377,329,82,6
MEMPHIS,3,487,376,376,327,82,7
MEMPHIS,3,510,382,382,333,84,8
MEMPHIS,3,487,403,402,349,96,9
MEMPHIS,3,501,424,423,374,101,10
MEMPHIS,3,477,442,442,397,102,11
MEMPHIS,3,477,457,457,416,104,12
MEMPHIS,3,469,468,468,431,104,13
MEMPHIS,3,465,475,475,439,105,14
MEMPHIS,3,467,476,476,440,106,15
MEMPHIS,3,475,471,471,433,102,16
MEMPHIS,3,488,454,454,414,92,17
MEMPHIS,3,497,440,440,400,86,18
MEMPHIS,3,483,429,429,387,87,19
MEMPHIS,3,477,421,421,379,83,20
MEMPHIS,3,467,415,415,373,82,21
MEMPHIS,3,462,409,409,368,81,22
MEMPHIS,3,471,404,404,361,82,23
MEMPHIS,4,484,401,401,355,86,0
MEMPHIS,4,477,395,395,350,83,1
MEMPHIS,4,490,389,389,343,80,2
MEMPHIS,4,469,386,385,339,80,3
MEMPHIS,4,463,383,383,333,86,4
MEMPHIS,4,484,378,378,328,82,5
MEMPHIS,4,497,374,374,325,82,6
MEMPHIS,4,483,373,373,323,83,7
MEMPHIS,4,500,379,379,329,84,8
MEMPHIS,4,484,399,399,345,96,9
MEMPHIS,4,493,420,420,370,101,10
MEMPHIS,4,472,439,439,392,102,11
MEMPHIS,4,472,454,454,412,104,12
MEMPHIS,4,468,465,465,426,104,13
MEMPHIS,4,457,472,472,434,105,14
MEMPHIS,4,463,473,473,436,106,15
MEMPHIS,4,465,468,468,429,103,16
MEMPHIS,4,471,451,451,410,93,17
MEMPHIS,4,482,437,437,395,87,18
MEMPHIS,4,456,427,427,384,86,19
MEMPHIS,4,452,419,419,376,84,20
MEMPHIS,4,448,413,413,370,82,21
MEMPHIS,4,445,407,407,365,82,22
MEMPHIS,4,454,402,402,358,83,23
MEMPHIS,5,471,399,399,352,87,0
MEMPHIS,5,465,393,393,347,85,1
MEMPHIS,5,485,388,388,341,81,2
MEMPHIS,5,466,384,384,337,81,3
MEMPHIS,5,467,382,382,332,87,4
MEMPHIS,5,487,377,377,328,82,5
MEMPHIS,5,502,374,374,325,82,6
MEMPHIS,5,499,373,373,322,83,7
MEMPHIS,5,511,379,379,328,85,8
MEMPHIS,5,495,399,399,344,98,9
MEMPHIS,5,498,420,420,369,102,10
MEMPHIS,5,484,438,438,392,101,11
MEMPHIS,5,481,453,453,411,104,12
MEMPHIS,5,475,464,464,425,104,13
MEMPHIS,5,466,472,472,434,105,14
MEMPHIS,5,474,473,473,434,106,15
MEMPHIS,5,465,468,468,430,102,16
MEMPHIS,5,480,451,451,410,94,17
MEMPHIS,5,498,437,437,394,87,18
MEMPHIS,5,464,427,427,385,86,19
MEMPHIS,5,455,420,420,377,85,20
MEMPHIS,5,451,413,413,371,83,21
MEMPHIS,5,454,408,408,365,83,22
MEMPHIS,5,459,403,403,358,85,23
MEMPHIS,6,475,399,399,352,87,0
MEMPHIS,6,465,393,393,346,86,1
MEMPHIS,6,492,388,388,342,82,2
MEMPHIS,6,474,384,384,337,82,3
MEMPHIS,6,470,382,382,332,86,4
MEMPHIS,6,485,377,377,327,82,5
MEMPHIS,6,502,373,373,323,83,6
MEMPHIS,6,482,372,372,320,83,7
MEMPHIS,6,492,377,377,326,85,8
MEMPHIS,6,487,398,398,342,98,9
MEMPHIS,6,488,419,419,367,103,10
MEMPHIS,6,478,438,438,391,102,11
MEMPHIS,6,485,452,452,410,105,12
MEMPHIS,6,481,464,464,424,105,13
MEMPHIS,6,474,471,471,432,106,14
MEMPHIS,6,482,472,472,432,106,15
MEMPHIS,6,473,466,466,428,103,16
MEMPHIS,6,488,450,450,408,94,17
MEMPHIS,6,495,435,435,392,87,18
MEMPHIS,6,467,425,425,381,87,19
MEMPHIS,6,459,418,418,374,85,20
MEMPHIS,6,459,411,411,368,83,21
MEMPHIS,6,457,406,406,362,84,22
MEMPHIS,6,459,401,401,355,85,23
MEMPHIS,7,475,397,397,349,88,0
MEMPHIS,7,458,391,391,342,86,1
MEMPHIS,7,490,386,386,338,83,2
MEMPHIS,7,469,382,382,333,82,3
MEMPHIS,7,475,380,380,328,86,4
MEMPHIS,7,485,374,374,324,83,5
MEMPHIS,7,499,371,371,320,83,6
MEMPHIS,7,475,370,370,317,83,7
MEMPHIS,7,485,375,375,322,85,8
MEMPHIS,7,480,395,395,338,99,9
MEMPHIS,7,475,417,417,363,103,10
MEMPHIS,7,472,436,436,389,103,11
MEMPHIS,7,482,451,451,407,106,12
MEMPHIS,7,476,462,462,422,106,13
MEMPHIS,7,465,469,469,431,107,14
MEMPHIS,7,470,470,470,431,107,15
MEMPHIS,7,456,465,465,426,104,16
MEMPHIS,7,467,448,448,406,95,17
MEMPHIS,7,479,433,433,390,87,18
MEMPHIS,7,454,423,423,379,87,19
MEMPHIS,7,448,415,415,370,85,20
MEMPHIS,7,447,408,408,363,84,21
MEMPHIS,7,449,403,403,358,84,22
MEMPHIS,7,441,397,397,350,86,23
MEMPHIS,8,454,393,393,343,88,0
MEMPHIS,8,443,387,387,337,87,1
MEMPHIS,8,473,381,381,332,83,2
MEMPHIS,8,455,377,377,327,83,3
MEMPHIS,8,460,375,375,322,87,4
MEMPHIS,8,474,370,370,317,83,5
MEMPHIS,8,479,366,366,314,83,6
MEMPHIS,8,469,365,364,311,83,7
