city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
NEW YORK LAGUARDIA,1,430,348,348,266,126,0
NEW YORK LAGUARDIA,1,438,345,345,262,125,1
NEW YORK LAGUARDIA,1,427,342,342,259,125,2
NEW YORK LAGUARDIA,1,430,339,339,255,124,3
NEW YORK LAGUARDIA,1,447,336,336,252,122,4
NEW YORK LAGUARDIA,1,444,334,334,250,122,5
NEW YORK LAGUARDIA,1,450,333,333,249,121,6
NEW YORK LAGUARDIA,1,415,333,333,249,120,7
NEW YORK LAGUARDIA,1,429,334,334,249,124,8
NEW YORK LAGUARDIA,1,434,341,341,255,129,9
NEW YORK LAGUARDIA,1,416,349,349,267,130,10
NEW YORK LAGUARDIA,1,422,360,360,279,134,11
NEW YORK LAGUARDIA,1,432,369,369,290,135,12
NEW YORK LAGUARDIA,1,438,378,378,300,138,13
NEW YORK LAGUARDIA,1,435,384,384,308,137,14
NEW YORK LAGUARDIA,1,420,386,386,310,138,15
NEW YORK LAGUARDIA,1,419,383,383,307,136,16
NEW YORK LAGUARDIA,1,407,376,376,298,134,17
NEW YORK LAGUARDIA,1,384,371,371,291,134,18
NEW YORK LAGUARDIA,1,409,368,368,286,134,19
NEW YORK LAGUARDIA,1,412,363,363,281,134,20
NEW YORK LAGUARDIA,1,394,359,359,276,132,21
NEW YORK LAGUARDIA,1,430,354,354,272,129,22
NEW YORK LAGUARDIA,1,425,350,350,267,128,23
NEW YORK LAGUARDIA,2,424,346,346,263,127,0
NEW YORK LAGUARDIA,2,440,343,343,259,125,1
NEW YORK LAGUARDIA,2,430,340,340,256,125,2
NEW YORK LAGUARDIA,2,436,337,337,253,123,3
NEW YORK LAGUARDIA,2,450,335,334,250,121,4
NEW YORK LAGUARDIA,2,448,333,333,249,120,5
NEW YORK LAGUARDIA,2,457,331,331,247,120,6
NEW YORK LAGUARDIA,2,415,331,331,247,120,7
NEW YORK LAGUARDIA,2,425,332,332,247,124,8
NEW YORK LAGUARDIA,2,435,339,339,254,129,9
NEW YORK LAGUARDIA,2,416,348,348,265,130,10
NEW YORK LAGUARDIA,2,419,359,359,277,134,11
NEW YORK LAGUARDIA,2,425,369,368,289,135,12
NEW YORK LAGUARDIA,2,436,377,377,299,138,13
NEW YORK LAGUARDIA,2,431,383,383,307,137,14
NEW YORK LAGUARDIA,2,420,385,385,309,138,15
NEW YORK LAGUARDIA,2,421,383,383,306,135,16
NEW YORK LAGUARDIA,2,413,376,376,297,134,17
NEW YORK LAGUARDIA,2,387,370,370,290,134,18
NEW YORK LAGUARDIA,2,401,367,367,286,134,19
NEW YORK LAGUARDIA,2,412,362,362,280,134,20
NEW YORK LAGUARDIA,2,394,358,358,276,132,21
NEW YORK LAGUARDIA,2,434,353,353,270,130,22
NEW YORK LAGUARDIA,2,429,349,349,266,128,23
NEW YORK LAGUARDIA,3,431,345,345,261,127,0
NEW YORK LAGUARDIA,3,449,342,342,258,125,1
NEW YORK LAGUARDIA,3,431,339,339,255,125,2
NEW YORK LAGUARDIA,3,441,336,336,252,122,3
NEW YORK LAGUARDIA,3,458,334,333,249,121,4
NEW YORK LAGUARDIA,3,449,332,332,247,120,5
NEW YORK LAGUARDIA,3,460,331,331,246,121,6
NEW YORK LAGUARDIA,3,417,330,330,245,121,7
NEW YORK LAGUARDIA,3,420,332,332,246,124,8
NEW YORK LAGUARDIA,3,435,339,339,253,129,9
NEW YORK LAGUARDIA,3,406,348,348,264,131,10
NEW YORK LAGUARDIA,3,410,358,358,276,134,11
NEW YORK LAGUARDIA,3,433,367,367,287,135,12
NEW YORK LAGUARDIA,3,429,376,376,298,137,13
NEW YORK LAGUARDIA,3,422,382,382,305,136,14
NEW YORK LAGUARDIA,3,419,384,384,309,137,15
NEW YORK LAGUARDIA,3,418,382,382,306,135,16
NEW YORK LAGUARDIA,3,415,375,375,296,134,17
NEW YORK LAGUARDIA,3,394,370,370,290,133,18
NEW YORK LAGUARDIA,3,398,366,366,285,132,19
NEW YORK LAGUARDIA,3,411,362,362,280,132,20
NEW YORK LAGUARDIA,3,404,357,357,276,129,21
NEW YORK LAGUARDIA,3,438,353,353,270,128,22
NEW YORK LAGUARDIA,3,430,349,349,265,126,23
NEW YORK LAGUARDIA,4,431,344,344,261,126,0
NEW YORK LAGUARDIA,4,447,341,341,257,125,1
NEW YORK LAGUARDIA,4,432,338,338,254,124,2
NEW YORK LAGUARDIA,4,444,335,335,251,121,3
NEW YORK LAGUARDIA,4,462,332,332,248,120,4
NEW YORK LAGUARDIA,4,452,331,331,246,120,5
NEW YORK LAGUARDIA,4,457,330,330,245,121,6
NEW YORK LAGUARDIA,4,421,329,329,244,121,7
NEW YORK LAGUARDIA,4,427,331,331,245,124,8
NEW YORK LAGUARDIA,4,440,338,338,252,129,9
NEW YORK LAGUARDIA,4,408,347,347,263,130,10
NEW YORK LAGUARDIA,4,414,357,357,275,136,11
NEW YORK LAGUARDIA,4,442,366,366,286,136,12
NEW YORK LAGUARDIA,4,438,374,374,295,138,13
NEW YORK LAGUARDIA,4,427,380,380,303,137,14
NEW YORK LAGUARDIA,4,415,383,383,306,137,15
NEW YORK LAGUARDIA,4,413,381,381,303,137,16
NEW YORK LAGUARDIA,4,406,374,374,294,136,17
NEW YORK LAGUARDIA,4,387,368,368,288,133,18
NEW YORK LAGUARDIA,4,394,365,365,284,132,19
NEW YORK LAGUARDIA,4,409,360,360,278,133,20
NEW YORK LAGUARDIA,4,397,356,356,274,130,21
NEW YORK LAGUARDIA,4,438,351,351,268,130,22
NEW YORK LAGUARDIA,4,424,347,347,263,128,23
NEW YORK LAGUARDIA,5,424,343,343,258,127,0
NEW YORK LAGUARDIA,5,437,339,339,254,126,1
NEW YORK LAGUARDIA,5,430,336,336,250,126,2
NEW YORK LAGUARDIA,5,442,334,334,248,123,3
NEW YORK LAGUARDIA,5,457,330,330,245,122,4
NEW YORK LAGUARDIA,5,452,329,329,243,122,5
NEW YORK LAGUARDIA,5,456,328,328,241,123,6
NEW YORK LAGUARDIA,5,423,327,327,240,123,7
NEW YORK LAGUARDIA,5,425,328,328,241,126,8
NEW YORK LAGUARDIA,5,438,335,335,247,130,9
NEW YORK LAGUARDIA,5,404,344,344,259,132,10
NEW YORK LAGUARDIA,5,407,354,354,270,137,11
NEW YORK LAGUARDIA,5,441,363,363,282,137,12
NEW YORK LAGUARDIA,5,431,372,372,291,138,13
NEW YORK LAGUARDIA,5,423,378,378,299,137,14
NEW YORK LAGUARDIA,5,407,380,380,302,138,15
NEW YORK LAGUARDIA,5,404,378,378,299,137,16
NEW YORK LAGUARDIA,5,390,371,371,291,135,17
NEW YORK LAGUARDIA,5,372,366,366,285,132,18
NEW YORK LAGUARDIA,5,388,362,362,280,131,19
NEW YORK LAGUARDIA,5,402,358,358,275,132,20
NEW YORK LAGUARDIA,5,398,353,353,270,131,21
NEW YORK LAGUARDIA,5,440,348,348,264,129,22
NEW YORK LAGUARDIA,5,432,344,344,260,127,23
NEW YORK LAGUARDIA,6,431,340,340,255,126,0
NEW YORK LAGUARDIA,6,440,337,337,251,126,1
NEW YORK LAGUARDIA,6,433,334,334,248,125,2
NEW YORK LAGUARDIA,6,452,331,331,246,122,3
NEW YORK LAGUARDIA,6,462,329,329,243,121,4
NEW YORK LAGUARDIA,6,457,327,327,241,122,5
NEW YORK LAGUARDIA,6,453,326,326,238,122,6
NEW YORK LAGUARDIA,6,431,325,325,237,122,7
NEW YORK LAGUARDIA,6,425,326,326,238,126,8
NEW YORK LAGUARDIA,6,440,333,333,244,131,9
NEW YORK LAGUARDIA,6,408,342,342,256,132,10
NEW YORK LAGUARDIA,6,413,352,352,267,138,11
NEW YORK LAGUARDIA,6,443,362,362,279,138,12
NEW YORK LAGUARDIA,6,426,370,370,289,139,13
NEW YORK LAGUARDIA,6,421,376,376,297,138,14
NEW YORK LAGUARDIA,6,399,379,379,300,139,15
NEW YORK LAGUARDIA,6,398,377,377,297,139,16
NEW YORK LAGUARDIA,6,385,370,370,289,137,17
NEW YORK LAGUARDIA,6,363,364,364,282,133,18
NEW YORK LAGUARDIA,6,382,360,360,277,133,19
NEW YORK LAGUARDIA,6,404,355,355,272,133,20
NEW YORK LAGUARDIA,6,398,351,351,267,131,21
NEW YORK LAGUARDIA,6,439,346,346,260,130,22
NEW YORK LAGUARDIA,6,423,341,341,256,127,23
NEW YORK LAGUARDIA,7,430,337,337,251,127,0
NEW YORK LAGUARDIA,7,440,334,334,247,126,1
NEW YORK LAGUARDIA,7,439,331,331,244,124,2
NEW YORK LAGUARDIA,7,454,329,329,242,123,3
NEW YORK LAGUARDIA,7,464,326,326,239,122,4
