city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
NEW YORK,1,433,339,339,258,120,0
NEW YORK,1,445,336,336,254,119,1
NEW YORK,1,444,334,334,253,117,2
NEW YORK,1,455,331,331,251,114,3
NEW YORK,1,451,328,328,248,113,4
NEW YORK,1,455,327,327,245,115,5
NEW YORK,1,457,325,325,243,116,6
NEW YORK,1,408,325,325,244,114,7
NEW YORK,1,407,329,329,246,119,8
NEW YORK,1,414,341,341,259,125,9
NEW YORK,1,402,354,354,273,130,10
NEW YORK,1,403,367,367,289,131,11
NEW YORK,1,420,377,377,303,131,12
NEW YORK,1,412,384,384,310,133,13
NEW YORK,1,408,388,388,315,134,14
NEW YORK,1,414,387,387,315,132,15
NEW YORK,1,398,381,381,307,128,16
NEW YORK,1,407,371,371,294,129,17
NEW YORK,1,395,365,365,287,128,18
NEW YORK,1,428,362,362,282,129,19
NEW YORK,1,423,358,358,276,130,20
NEW YORK,1,424,351,351,269,127,21
NEW YORK,1,438,347,347,265,124,22
NEW YORK,1,424,342,342,261,121,23
NEW YORK,2,429,337,337,255,120,0
NEW YORK,2,442,334,334,251,119,1
NEW YORK,2,457,332,332,250,117,2
NEW YORK,2,463,329,329,248,115,3
NEW YORK,2,460,327,326,245,113,4
NEW YORK,2,461,325,325,243,115,5
NEW YORK,2,472,324,324,241,116,6
NEW YORK,2,417,323,323,242,115,7
NEW YORK,2,407,327,327,244,118,8
NEW YORK,2,419,339,339,257,125,9
NEW YORK,2,406,353,353,271,131,10
NEW YORK,2,399,365,365,287,132,11
NEW YORK,2,418,376,376,301,131,12
NEW YORK,2,411,383,383,309,134,13
NEW YORK,2,410,387,386,313,134,14
NEW YORK,2,417,387,386,314,131,15
NEW YORK,2,397,381,380,307,128,16
NEW YORK,2,413,370,370,293,129,17
NEW YORK,2,397,365,365,286,129,18
NEW YORK,2,420,361,361,282,128,19
NEW YORK,2,422,357,357,275,129,20
NEW YORK,2,420,351,350,269,126,21
