city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
NEWARK,1,431,332,332,257,100,0
NEWARK,1,459,327,327,253,96,1
NEWARK,1,480,323,323,250,93,2
NEWARK,1,460,319,319,245,94,3
NEWARK,1,483,317,317,241,94,4
NEWARK,1,478,314,314,239,93,5
NEWARK,1,457,313,313,238,93,6
NEWARK,1,434,312,312,236,95,7
NEWARK,1,433,315,315,238,99,8
NEWARK,1,427,329,329,250,109,9
NEWARK,1,422,345,345,268,114,10
NEWARK,1,428,362,362,287,120,11
NEWARK,1,440,374,374,302,123,12
NEWARK,1,445,384,384,312,127,13
NEWARK,1,442,390,390,320,126,14
NEWARK,1,424,390,390,321,125,15
NEWARK,1,445,385,385,315,122,16
NEWARK,1,435,373,373,301,117,17
NEWARK,1,433,365,365,293,111,18
NEWARK,1,433,359,359,285,110,19
NEWARK,1,433,351,351,277,108,20
NEWARK,1,443,346,346,271,107,21
NEWARK,1,448,340,340,264,106,22
NEWARK,1,444,335,335,260,102,23
NEWARK,2,436,330,330,254,100,0
NEWARK,2,465,325,325,251,96,1
NEWARK,2,476,321,321,248,93,2
NEWARK,2,468,317,317,243,94,3
NEWARK,2,489,315,315,239,94,4
NEWARK,2,485,313,313,238,94,5
NEWARK,2,459,312,312,237,93,6
NEWARK,2,436,311,311,233,96,7
NEWARK,2,434,314,314,236,101,8
NEWARK,2,430,327,327,248,110,9
NEWARK,2,420,344,344,266,114,10
NEWARK,2,421,361,361,285,120,11
NEWARK,2,438,374,373,301,124,12
NEWARK,2,444,383,383,311,128,13
NEWARK,2,444,389,389,319,126,14
NEWARK,2,429,389,389,320,125,15
NEWARK,2,451,384,384,314,122,16
NEWARK,2,442,372,372,300,117,17
NEWARK,2,446,364,364,292,110,18
NEWARK,2,440,358,358,285,110,19
NEWARK,2,433,350,350,276,107,20
NEWARK,2,446,345,345,271,107,21
NEWARK,2,450,339,339,264,105,22
NEWARK,2,453,334,334,260,101,23
NEWARK,3,438,329,329,254,99,0
NEWARK,3,470,324,324,250,95,1
NEWARK,3,477,320,320,246,92,2
NEWARK,3,472,316,316,241,93,3
NEWARK,3,499,314,314,239,93,4
NEWARK,3,492,312,312,237,92,5
NEWARK,3,466,311,311,235,93,6
NEWARK,3,438,310,310,232,95,7
NEWARK,3,437,313,313,236,99,8
NEWARK,3,433,327,327,247,109,9
NEWARK,3,418,343,343,266,113,10
NEWARK,3,419,360,360,285,119,11
NEWARK,3,436,373,373,300,122,12
NEWARK,3,444,382,382,310,127,13
NEWARK,3,442,388,388,318,125,14
NEWARK,3,430,389,389,320,124,15
NEWARK,3,454,384,383,313,120,16
NEWARK,3,440,372,372,300,116,17
NEWARK,3,444,363,363,292,109,18
NEWARK,3,431,357,357,285,109,19
NEWARK,3,441,350,350,276,106,20
NEWARK,3,444,344,344,270,105,21
NEWARK,3,445,338,338,263,104,22
NEWARK,3,451,333,333,259,100,23
NEWARK,4,433,328,327,253,98,0
NEWARK,4,466,323,323,249,94,1
NEWARK,4,477,319,319,245,92,2
NEWARK,4,467,315,315,240,93,3
NEWARK,4,491,313,313,238,92,4
NEWARK,4,489,311,311,235,93,5
NEWARK,4,462,310,310,234,93,6
NEWARK,4,442,309,309,231,95,7
NEWARK,4,442,312,312,234,99,8
NEWARK,4,432,325,325,246,109,9
NEWARK,4,412,342,342,265,114,10
NEWARK,4,418,358,358,283,119,11
NEWARK,4,440,371,371,297,124,12
NEWARK,4,444,381,380,307,128,13
NEWARK,4,438,386,386,315,127,14
NEWARK,4,429,387,387,317,125,15
NEWARK,4,447,382,382,311,121,16
NEWARK,4,435,370,370,297,118,17
NEWARK,4,437,362,362,289,110,18
NEWARK,4,429,356,356,282,110,19
NEWARK,4,442,348,348,274,106,20
NEWARK,4,447,343,343,268,106,21
NEWARK,4,438,337,337,261,105,22
NEWARK,4,444,332,332,256,102,23
NEWARK,5,422,326,326,250,100,0
NEWARK,5,453,321,321,246,96,1
NEWARK,5,465,317,317,242,94,2
NEWARK,5,467,314,314,237,95,3
NEWARK,5,494,312,312,235,94,4
NEWARK,5,490,309,309,233,94,5
NEWARK,5,461,308,308,230,95,6
NEWARK,5,445,306,306,227,96,7
NEWARK,5,446,309,309,230,100,8
NEWARK,5,432,323,323,242,110,9
NEWARK,5,412,340,340,261,115,10
NEWARK,5,418,356,356,279,121,11
NEWARK,5,438,368,368,293,125,12
NEWARK,5,434,378,378,303,129,13
NEWARK,5,430,384,384,312,128,14
NEWARK,5,425,385,385,313,126,15
NEWARK,5,435,380,380,307,121,16
NEWARK,5,419,367,367,293,118,17
NEWARK,5,417,359,359,285,110,18
NEWARK,5,416,353,353,278,109,19
NEWARK,5,435,345,345,271,105,20
