city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
PHILADELPHIA,1,450,335,335,269,88,0
PHILADELPHIA,1,443,331,331,265,88,1
PHILADELPHIA,1,455,328,328,262,86,2
PHILADELPHIA,1,472,325,325,259,85,3
PHILADELPHIA,1,466,323,323,255,88,4
PHILADELPHIA,1,487,322,322,255,87,5
PHILADELPHIA,1,449,320,320,252,88,6
PHILADELPHIA,1,417,320,320,249,91,7
PHILADELPHIA,1,438,323,323,252,93,8
PHILADELPHIA,1,449,339,339,267,100,9
PHILADELPHIA,1,447,356,356,284,109,10
PHILADELPHIA,1,445,372,372,302,114,11
PHILADELPHIA,1,451,385,385,317,120,12
PHILADELPHIA,1,411,394,394,329,121,13
PHILADELPHIA,1,437,401,401,337,119,14
PHILADELPHIA,1,426,401,401,337,120,15
PHILADELPHIA,1,430,395,394,330,114,16
PHILADELPHIA,1,421,381,381,316,106,17
PHILADELPHIA,1,426,370,370,304,100,18
PHILADELPHIA,1,423,363,363,297,97,19
PHILADELPHIA,1,427,355,355,288,94,20
PHILADELPHIA,1,440,348,348,281,93,21
PHILADELPHIA,1,425,343,343,276,91,22
PHILADELPHIA,1,453,339,339,274,87,23
PHILADELPHIA,2,450,334,334,267,89,0
PHILADELPHIA,2,446,330,330,263,88,1
PHILADELPHIA,2,457,327,327,260,86,2
PHILADELPHIA,2,477,324,324,257,85,3
PHILADELPHIA,2,471,323,323,254,88,4
PHILADELPHIA,2,490,321,321,254,87,5
PHILADELPHIA,2,459,320,320,252,87,6
PHILADELPHIA,2,429,319,319,249,90,7
PHILADELPHIA,2,443,323,323,252,93,8
PHILADELPHIA,2,460,339,339,267,101,9
PHILADELPHIA,2,445,356,356,284,109,10
PHILADELPHIA,2,447,372,372,303,114,11
PHILADELPHIA,2,461,385,385,317,119,12
PHILADELPHIA,2,414,394,394,330,120,13
PHILADELPHIA,2,442,401,400,337,119,14
PHILADELPHIA,2,440,401,401,338,120,15
PHILADELPHIA,2,441,394,394,331,113,16
PHILADELPHIA,2,425,380,380,316,106,17
PHILADELPHIA,2,430,369,369,304,99,18
PHILADELPHIA,2,424,363,362,297,96,19
PHILADELPHIA,2,431,354,354,288,94,20
PHILADELPHIA,2,443,348,348,281,93,21
PHILADELPHIA,2,427,342,342,276,91,22
PHILADELPHIA,2,459,338,338,273,87,23
PHILADELPHIA,3,452,333,333,266,88,0
PHILADELPHIA,3,457,329,329,262,88,1
PHILADELPHIA,3,472,326,326,260,86,2
PHILADELPHIA,3,486,323,323,256,85,3
PHILADELPHIA,3,485,322,322,253,88,4
PHILADELPHIA,3,499,320,320,253,86,5
PHILADELPHIA,3,472,319,319,251,87,6
PHILADELPHIA,3,431,318,318,247,89,7
PHILADELPHIA,3,442,322,322,251,92,8
PHILADELPHIA,3,455,338,338,265,100,9
PHILADELPHIA,3,447,355,355,283,109,10
PHILADELPHIA,3,447,371,371,302,113,11
PHILADELPHIA,3,453,384,384,317,118,12
PHILADELPHIA,3,422,394,393,329,119,13
PHILADELPHIA,3,440,400,400,337,119,14
PHILADELPHIA,3,442,401,401,337,119,15
PHILADELPHIA,3,447,394,394,330,113,16
PHILADELPHIA,3,425,380,380,315,106,17
PHILADELPHIA,3,424,368,368,304,98,18
PHILADELPHIA,3,424,362,362,297,96,19
PHILADELPHIA,3,429,353,353,287,94,20
PHILADELPHIA,3,453,347,347,280,93,21
PHILADELPHIA,3,425,342,342,275,90,22
PHILADELPHIA,3,452,338,338,272,87,23
PHILADELPHIA,4,450,332,332,265,89,0
PHILADELPHIA,4,455,328,328,262,87,1
PHILADELPHIA,4,467,326,325,259,85,2
PHILADELPHIA,4,484,323,322,256,84,3
PHILADELPHIA,4,478,321,321,252,87,4
PHILADELPHIA,4,497,319,319,252,85,5
PHILADELPHIA,4,469,318,318,250,86,6
PHILADELPHIA,4,428,317,317,247,88,7
PHILADELPHIA,4,426,321,321,250,92,8
PHILADELPHIA,4,447,337,337,265,99,9
