city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
PHOENIX,1,164,511,511,504,41,0
PHOENIX,1,175,500,500,490,42,1
PHOENIX,1,162,491,491,479,44,2
PHOENIX,1,157,482,482,469,43,3
PHOENIX,1,186,475,475,461,44,4
PHOENIX,1,188,468,468,453,45,5
PHOENIX,1,178,463,463,447,45,6
PHOENIX,1,180,460,460,443,48,7
PHOENIX,1,176,462,462,444,48,8
PHOENIX,1,184,490,490,476,54,9
PHOENIX,1,206,527,527,519,61,10
PHOENIX,1,186,564,564,560,66,11
PHOENIX,1,206,592,592,591,63,12
PHOENIX,1,202,614,614,612,60,13
PHOENIX,1,197,631,631,629,56,14
PHOENIX,1,206,641,641,640,58,15
PHOENIX,1,200,643,643,642,55,16
PHOENIX,1,203,634,634,634,55,17
PHOENIX,1,177,608,608,606,47,18
PHOENIX,1,197,585,585,582,40,19
PHOENIX,1,190,564,564,562,36,20
PHOENIX,1,168,548,548,546,32,21
PHOENIX,1,158,536,536,532,37,22
PHOENIX,1,153,523,523,518,39,23
PHOENIX,2,162,512,512,505,42,0
PHOENIX,2,170,501,501,491,42,1
PHOENIX,2,157,492,492,480,45,2
PHOENIX,2,152,483,483,470,44,3
PHOENIX,2,182,476,476,462,45,4
PHOENIX,2,183,470,470,454,47,5
PHOENIX,2,171,464,464,448,46,6
PHOENIX,2,176,461,461,444,48,7
PHOENIX,2,170,463,463,445,49,8
PHOENIX,2,178,492,492,478,54,9
PHOENIX,2,200,528,528,521,60,10
PHOENIX,2,184,564,564,560,64,11
PHOENIX,2,197,594,594,592,62,12
PHOENIX,2,201,615,615,614,59,13
PHOENIX,2,194,632,632,631,56,14
PHOENIX,2,196,643,643,643,57,15
PHOENIX,2,195,645,645,645,55,16
PHOENIX,2,200,637,637,637,55,17
PHOENIX,2,175,611,611,609,46,18
PHOENIX,2,200,587,587,585,39,19
PHOENIX,2,199,566,566,564,35,20
PHOENIX,2,172,550,550,548,32,21
PHOENIX,2,159,537,537,534,36,22
PHOENIX,2,154,525,525,520,38,23
PHOENIX,3,160,514,514,507,41,0
PHOENIX,3,171,503,503,494,41,1
PHOENIX,3,158,494,494,482,44,2
PHOENIX,3,153,485,485,472,44,3
PHOENIX,3,183,478,478,464,44,4
PHOENIX,3,184,472,472,456,46,5
PHOENIX,3,174,466,466,450,46,6
PHOENIX,3,179,464,464,447,48,7
PHOENIX,3,173,465,465,447,49,8
PHOENIX,3,177,494,494,481,53,9
PHOENIX,3,198,530,530,523,61,10
PHOENIX,3,184,567,567,563,65,11
PHOENIX,3,201,597,596,596,62,12
PHOENIX,3,200,618,618,617,59,13
PHOENIX,3,194,636,636,635,55,14
PHOENIX,3,187,647,647,646,57,15
PHOENIX,3,189,649,649,649,56,16
PHOENIX,3,195,641,641,640,56,17
PHOENIX,3,175,614,614,613,47,18
PHOENIX,3,200,590,590,589,40,19
PHOENIX,3,194,569,569,567,35,20
PHOENIX,3,172,553,553,551,32,21
PHOENIX,3,154,540,540,536,37,22
PHOENIX,3,152,527,527,523,38,23
PHOENIX,4,155,516,516,510,41,0
PHOENIX,4,169,505,505,497,41,1
PHOENIX,4,156,496,496,485,44,2
PHOENIX,4,156,487,487,474,43,3
PHOENIX,4,186,481,481,467,44,4
PHOENIX,4,187,474,474,460,46,5
PHOENIX,4,179,469,469,453,46,6
PHOENIX,4,184,466,466,449,48,7
PHOENIX,4,173,467,467,450,49,8
PHOENIX,4,181,497,497,485,54,9
PHOENIX,4,199,534,534,528,61,10
PHOENIX,4,186,571,571,568,65,11
PHOENIX,4,194,601,600,600,63,12
PHOENIX,4,197,622,622,622,60,13
PHOENIX,4,190,640,640,639,57,14
PHOENIX,4,184,651,651,651,58,15
PHOENIX,4,189,653,653,652,56,16
PHOENIX,4,191,645,645,644,56,17
PHOENIX,4,172,618,618,617,47,18
PHOENIX,4,190,593,593,592,40,19
PHOENIX,4,186,573,573,571,36,20
PHOENIX,4,169,556,556,554,33,21
PHOENIX,4,149,542,542,539,37,22
PHOENIX,4,155,530,530,526,39,23
PHOENIX,5,154,518,518,512,42,0
PHOENIX,5,164,507,507,498,42,1
PHOENIX,5,151,498,498,487,45,2
PHOENIX,5,156,489,489,477,44,3
PHOENIX,5,174,483,483,469,45,4
PHOENIX,5,173,476,476,461,47,5
PHOENIX,5,175,471,471,455,46,6
PHOENIX,5,181,468,468,451,48,7
PHOENIX,5,171,469,469,452,49,8
PHOENIX,5,181,499,499,487,54,9
PHOENIX,5,194,537,537,531,62,10
PHOENIX,5,183,573,573,571,66,11
PHOENIX,5,196,603,602,602,64,12
PHOENIX,5,198,625,625,624,61,13
PHOENIX,5,185,642,642,641,58,14
PHOENIX,5,187,654,653,653,59,15
PHOENIX,5,183,656,656,655,57,16
PHOENIX,5,186,648,648,647,58,17
PHOENIX,5,174,621,621,620,48,18
PHOENIX,5,192,596,596,595,41,19
PHOENIX,5,190,575,575,573,37,20
PHOENIX,5,171,559,559,557,34,21
PHOENIX,5,151,544,544,542,38,22
PHOENIX,5,148,532,532,528,39,23
PHOENIX,6,152,520,520,513,42,0
PHOENIX,6,163,508,508,500,43,1
PHOENIX,6,143,499,499,488,45,2
PHOENIX,6,150,490,490,478,44,3
PHOENIX,6,164,484,484,471,45,4
PHOENIX,6,166,477,477,463,47,5
PHOENIX,6,170,472,472,456,47,6
PHOENIX,6,181,469,469,452,48,7
PHOENIX,6,170,470,470,453,49,8
