city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
PORTLAND,1,621,389,389,335,96,0
PORTLAND,1,637,386,386,333,95,1
PORTLAND,1,664,385,385,332,95,2
PORTLAND,1,656,383,383,329,93,3
PORTLAND,1,677,383,383,330,93,4
PORTLAND,1,646,381,381,328,92,5
PORTLAND,1,658,381,381,328,90,6
PORTLAND,1,661,382,382,327,96,7
PORTLAND,1,646,380,380,326,94,8
PORTLAND,1,609,387,387,334,93,9
PORTLAND,1,631,399,399,346,98,10
PORTLAND,1,613,412,412,360,105,11
PORTLAND,1,607,423,423,371,108,12
PORTLAND,1,614,430,430,380,111,13
PORTLAND,1,603,434,434,383,110,14
PORTLAND,1,603,432,432,381,111,15
PORTLAND,1,603,425,425,372,109,16
PORTLAND,1,604,412,412,357,106,17
PORTLAND,1,645,406,406,350,104,18
PORTLAND,1,631,404,404,347,104,19
PORTLAND,1,670,401,401,344,107,20
PORTLAND,1,640,398,398,341,104,21
PORTLAND,1,651,395,395,339,102,22
PORTLAND,1,609,392,392,337,99,23
PORTLAND,2,619,390,390,337,96,0
PORTLAND,2,634,388,388,335,96,1
PORTLAND,2,661,386,386,334,95,2
PORTLAND,2,650,385,385,331,94,3
PORTLAND,2,673,385,385,331,93,4
PORTLAND,2,637,383,383,330,94,5
PORTLAND,2,661,383,383,330,92,6
PORTLAND,2,658,384,384,329,98,7
PORTLAND,2,645,382,382,327,96,8
PORTLAND,2,606,389,389,336,95,9
PORTLAND,2,628,401,401,348,100,10
PORTLAND,2,608,414,414,361,106,11
PORTLAND,2,610,424,424,373,109,12
PORTLAND,2,609,432,432,382,113,13
PORTLAND,2,593,435,435,385,112,14
PORTLAND,2,611,434,434,383,112,15
PORTLAND,2,604,426,426,374,110,16
PORTLAND,2,614,414,414,359,106,17
PORTLAND,2,648,408,408,352,104,18
PORTLAND,2,625,405,405,350,103,19
PORTLAND,2,668,402,402,345,107,20
PORTLAND,2,634,399,399,342,104,21
PORTLAND,2,645,397,397,341,102,22
PORTLAND,2,609,394,394,339,99,23
PORTLAND,3,624,392,392,339,97,0
PORTLAND,3,640,390,390,337,96,1
PORTLAND,3,656,388,388,335,96,2
PORTLAND,3,648,386,386,333,94,3
PORTLAND,3,675,386,386,333,93,4
PORTLAND,3,636,384,384,331,94,5
PORTLAND,3,668,384,384,331,93,6
PORTLAND,3,661,385,385,330,99,7
PORTLAND,3,648,384,384,328,97,8
PORTLAND,3,606,391,391,337,96,9
PORTLAND,3,629,402,402,349,100,10
PORTLAND,3,602,415,415,363,107,11
PORTLAND,3,614,426,426,375,109,12
PORTLAND,3,601,433,433,384,113,13
PORTLAND,3,591,437,437,388,111,14
PORTLAND,3,612,436,436,386,111,15
PORTLAND,3,611,428,428,376,110,16
PORTLAND,3,615,416,416,361,106,17
PORTLAND,3,661,410,410,354,104,18
PORTLAND,3,631,407,407,352,103,19
PORTLAND,3,667,404,404,348,106,20
PORTLAND,3,635,401,401,345,103,21
PORTLAND,3,642,399,399,343,102,22
PORTLAND,3,608,395,395,342,99,23
PORTLAND,4,615,393,393,341,96,0
PORTLAND,4,646,391,391,338,96,1
PORTLAND,4,662,388,388,336,95,2
PORTLAND,4,642,387,387,334,93,3
PORTLAND,4,661,386,386,333,93,4
PORTLAND,4,630,384,384,331,94,5
PORTLAND,4,662,385,385,332,92,6
PORTLAND,4,662,385,385,330,97,7
PORTLAND,4,645,384,384,329,96,8
PORTLAND,4,599,390,390,338,94,9
PORTLAND,4,626,402,402,349,100,10
PORTLAND,4,600,415,415,363,107,11
PORTLAND,4,610,426,426,375,108,12
PORTLAND,4,592,434,434,385,111,13
PORTLAND,4,585,437,437,389,110,14
PORTLAND,4,604,436,436,387,110,15
PORTLAND,4,607,429,429,378,109,16
PORTLAND,4,615,417,417,363,105,17
PORTLAND,4,665,410,410,356,102,18
PORTLAND,4,624,407,407,353,101,19
PORTLAND,4,653,404,404,349,105,20
PORTLAND,4,628,401,401,346,102,21
PORTLAND,4,638,399,399,343,101,22
PORTLAND,4,604,395,395,342,98,23
PORTLAND,5,614,393,393,341,96,0
PORTLAND,5,649,391,391,339,95,1
PORTLAND,5,671,388,388,336,95,2
PORTLAND,5,660,387,387,335,92,3
PORTLAND,5,683,386,386,334,92,4
PORTLAND,5,651,385,385,332,94,5
PORTLAND,5,679,385,385,333,92,6
PORTLAND,5,680,386,386,332,97,7
PORTLAND,5,667,385,385,330,96,8
PORTLAND,5,618,392,392,339,96,9
PORTLAND,5,643,403,403,350,100,10
PORTLAND,5,612,416,416,364,107,11
PORTLAND,5,625,427,427,376,109,12
PORTLAND,5,594,435,435,387,111,13
PORTLAND,5,594,439,439,390,111,14
PORTLAND,5,606,438,438,389,110,15
PORTLAND,5,619,431,431,380,109,16
PORTLAND,5,621,419,419,366,105,17
PORTLAND,5,679,412,412,358,102,18
PORTLAND,5,626,408,408,355,100,19
PORTLAND,5,658,406,406,352,103,20
PORTLAND,5,628,403,402,348,100,21
PORTLAND,5,633,400,400,345,100,22
PORTLAND,5,605,397,397,343,97,23
PORTLAND,6,613,394,394,343,95,0
PORTLAND,6,651,393,393,341,94,1
PORTLAND,6,676,390,390,339,93,2
PORTLAND,6,667,389,389,338,90,3
PORTLAND,6,690,388,388,337,90,4
PORTLAND,6,658,387,387,335,93,5
PORTLAND,6,679,387,387,335,91,6
PORTLAND,6,679,388,388,334,97,7
PORTLAND,6,669,387,387,333,95,8
PORTLAND,6,613,394,393,341,96,9
PORTLAND,6,638,405,404,353,100,10
PORTLAND,6,610,418,418,366,107,11
PORTLAND,6,613,430,429,379,108,12
PORTLAND,6,586,437,437,390,111,13
PORTLAND,6,601,441,441,393,110,14
PORTLAND,6,615,440,440,392,110,15
PORTLAND,6,619,433,433,383,108,16
PORTLAND,6,615,421,421,368,105,17
PORTLAND,6,667,414,414,360,102,18
PORTLAND,6,615,410,410,357,99,19
PORTLAND,6,652,407,407,354,102,20
PORTLAND,6,628,404,403,349,100,21
PORTLAND,6,632,401,401,347,99,22
PORTLAND,6,609,398,398,346,97,23
PORTLAND,7,619,396,396,344,95,0
PORTLAND,7,664,394,394,343,93,1
PORTLAND,7,689,392,392,340,94,2
PORTLAND,7,674,391,390,340,91,3
PORTLAND,7,694,390,390,339,90,4
PORTLAND,7,666,389,389,337,93,5
PORTLAND,7,686,389,389,337,91,6
PORTLAND,7,682,391,390,337,97,7
PORTLAND,7,676,389,389,336,96,8
PORTLAND,7,624,396,396,344,97,9
PORTLAND,7,646,407,407,355,102,10
PORTLAND,7,609,420,420,369,107,11
PORTLAND,7,614,432,432,382,109,12
PORTLAND,7,581,440,440,393,112,13
PORTLAND,7,596,443,443,396,111,14
PORTLAND,7,605,443,443,395,111,15
PORTLAND,7,615,436,436,386,110,16
PORTLAND,7,615,423,423,370,105,17
PORTLAND,7,655,416,416,363,101,18
PORTLAND,7,615,412,412,360,99,19
PORTLAND,7,655,409,409,356,101,20
PORTLAND,7,624,405,405,352,98,21
PORTLAND,7,625,402,402,349,97,22
PORTLAND,7,603,399,399,347,96,23
PORTLAND,8,615,396,396,345,94,0
PORTLAND,8,664,395,395,344,92,1
PORTLAND,8,680,392,392,341,93,2
PORTLAND,8,671,391,391,340,89,3
PORTLAND,8,687,391,391,339,90,4
PORTLAND,8,658,389,389,338,91,5
PORTLAND,8,681,389,389,338,91,6
PORTLAND,8,682,390,390,338,94,7
PORTLAND,8,675,390,390,337,95,8
PORTLAND,8,626,396,396,345,95,9
PORTLAND,8,645,408,408,357,100,10
PORTLAND,8,610,421,421,371,106,11
PORTLAND,8,604,434,434,385,108,12
PORTLAND,8,574,442,442,395,111,13
PORTLAND,8,594,445,445,399,110,14
PORTLAND,8,605,445,445,398,109,15
PORTLAND,8,616,438,438,388,109,16
PORTLAND,8,619,425,425,372,105,17
PORTLAND,8,657,417,417,364,102,18
PORTLAND,8,613,412,412,360,99,19
PORTLAND,8,649,409,409,357,100,20
PORTLAND,8,631,405,405,352,98,21
PORTLAND,8,624,402,402,349,97,22
PORTLAND,8,602,399,399,348,95,23
PORTLAND,9,611,396,396,345,92,0
PORTLAND,9,649,394,394,343,92,1
PORTLAND,9,675,391,391,340,92,2
PORTLAND,9,671,390,390,340,88,3
PORTLAND,9,690,389,389,339,88,4
PORTLAND,9,666,388,388,338,90,5
PORTLAND,9,687,387,387,336,89,6
PORTLAND,9,685,389,389,337,93,7
PORTLAND,9,670,388,388,336,94,8
PORTLAND,9,624,395,395,343,95,9
PORTLAND,9,640,407,407,356,99,10
PORTLAND,9,596,420,420,370,105,11
PORTLAND,9,605,433,433,384,107,12
PORTLAND,9,578,441,441,393,111,13
PORTLAND,9,596,444,444,398,110,14
PORTLAND,9,603,444,444,397,109,15
PORTLAND,9,616,437,437,387,109,16
PORTLAND,9,612,424,424,372,105,17
PORTLAND,9,638,417,417,364,101,18
PORTLAND,9,604,412,412,359,99,19
PORTLAND,9,628,409,409,356,100,20
PORTLAND,9,619,405,405,352,98,21
PORTLAND,9,612,401,401,348,97,22
PORTLAND,9,592,399,399,348,95,23
PORTLAND,10,595,395,395,345,92,0
PORTLAND,10,627,393,393,343,90,1
PORTLAND,10,658,390,390,340,90,2
PORTLAND,10,657,389,389,339,86,3
PORTLAND,10,677,388,388,338,86,4
PORTLAND,10,661,386,386,336,88,5
PORTLAND,10,683,385,385,334,89,6
PORTLAND,10,680,387,387,335,91,7
PORTLAND,10,677,387,387,334,93,8
PORTLAND,10,629,394,394,342,94,9
PORTLAND,10,647,406,406,354,98,10
PORTLAND,10,601,419,419,369,104,11
PORTLAND,10,614,432,432,383,106,12
PORTLAND,10,579,440,440,392,110,13
PORTLAND,10,611,444,444,397,109,14
PORTLAND,10,615,444,444,397,108,15
PORTLAND,10,622,437,437,387,108,16
PORTLAND,10,622,424,424,371,104,17
PORTLAND,10,633,416,416,363,102,18
PORTLAND,10,602,411,411,358,100,19
PORTLAND,10,623,408,408,355,100,20
PORTLAND,10,619,404,404,351,97,21
PORTLAND,10,611,401,401,349,95,22
PORTLAND,10,588,399,399,348,95,23
PORTLAND,11,597,395,395,345,92,0
PORTLAND,11,626,393,393,343,90,1
PORTLAND,11,653,390,390,339,91,2
PORTLAND,11,664,389,389,339,87,3
PORTLAND,11,681,388,388,338,87,4
PORTLAND,11,667,387,387,335,89,5
PORTLAND,11,680,385,385,334,89,6
PORTLAND,11,681,386,386,335,91,7
PORTLAND,11,671,386,386,334,94,8
PORTLAND,11,636,393,393,342,94,9
PORTLAND,11,652,405,405,354,98,10
PORTLAND,11,608,419,419,369,103,11
PORTLAND,11,613,431,431,383,106,12
PORTLAND,11,581,439,439,392,110,13
PORTLAND,11,613,444,444,397,109,14
PORTLAND,11,621,444,444,397,108,15
PORTLAND,11,624,437,437,387,109,16
PORTLAND,11,611,424,424,372,104,17
