city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
SAN ANTONIO,1,434,473,473,449,66,0
SAN ANTONIO,1,463,465,465,439,65,1
SAN ANTONIO,1,471,459,459,433,63,2
SAN ANTONIO,1,471,454,454,427,64,3
SAN ANTONIO,1,471,450,450,423,61,4
SAN ANTONIO,1,453,446,446,417,63,5
SAN ANTONIO,1,455,442,442,413,62,6
SAN ANTONIO,1,470,441,441,411,64,7
SAN ANTONIO,1,493,444,444,413,67,8
SAN ANTONIO,1,498,475,475,448,73,9
SAN ANTONIO,1,497,512,512,489,84,10
SAN ANTONIO,1,497,541,540,522,93,11
SAN ANTONIO,1,482,564,563,548,97,12
SAN ANTONIO,1,447,583,583,571,97,13
SAN ANTONIO,1,428,596,596,584,99,14
SAN ANTONIO,1,390,604,604,592,100,15
SAN ANTONIO,1,411,605,605,593,99,16
SAN ANTONIO,1,372,593,593,581,95,17
SAN ANTONIO,1,373,565,565,550,81,18
SAN ANTONIO,1,382,543,543,526,72,19
SAN ANTONIO,1,376,524,524,507,68,20
SAN ANTONIO,1,380,506,506,487,69,21
SAN ANTONIO,1,417,493,493,473,68,22
SAN ANTONIO,1,425,484,484,462,67,23
SAN ANTONIO,2,439,476,476,452,66,0
SAN ANTONIO,2,468,468,468,443,65,1
SAN ANTONIO,2,477,461,461,436,62,2
SAN ANTONIO,2,475,456,456,430,63,3
SAN ANTONIO,2,479,453,453,426,60,4
SAN ANTONIO,2,464,448,448,420,62,5
SAN ANTONIO,2,460,445,445,416,62,6
SAN ANTONIO,2,470,444,444,414,64,7
SAN ANTONIO,2,483,446,446,416,66,8
SAN ANTONIO,2,482,479,478,453,71,9
SAN ANTONIO,2,480,515,515,493,83,10
SAN ANTONIO,2,479,545,545,527,94,11
SAN ANTONIO,2,461,568,568,553,98,12
SAN ANTONIO,2,426,588,588,576,99,13
SAN ANTONIO,2,406,602,602,590,100,14
SAN ANTONIO,2,378,610,610,598,101,15
SAN ANTONIO,2,396,610,610,599,100,16
SAN ANTONIO,2,360,598,598,587,96,17
SAN ANTONIO,2,366,570,570,556,81,18
SAN ANTONIO,2,371,547,547,532,71,19
SAN ANTONIO,2,364,528,528,513,68,20
SAN ANTONIO,2,366,510,510,492,69,21
SAN ANTONIO,2,407,497,497,477,67,22
SAN ANTONIO,2,416,487,487,467,67,23
SAN ANTONIO,3,434,479,479,456,66,0
SAN ANTONIO,3,463,470,470,445,64,1
SAN ANTONIO,3,471,464,464,439,63,2
SAN ANTONIO,3,467,459,459,433,64,3
SAN ANTONIO,3,477,455,455,429,60,4
SAN ANTONIO,3,461,451,451,423,62,5
SAN ANTONIO,3,446,447,447,418,62,6
SAN ANTONIO,3,461,446,445,415,64,7
SAN ANTONIO,3,470,448,448,418,67,8
SAN ANTONIO,3,479,480,480,453,72,9
SAN ANTONIO,3,477,516,516,494,85,10
SAN ANTONIO,3,479,546,546,528,95,11
SAN ANTONIO,3,456,570,570,555,99,12
SAN ANTONIO,3,424,590,590,578,101,13
SAN ANTONIO,3,402,604,603,592,101,14
SAN ANTONIO,3,372,611,611,600,102,15
SAN ANTONIO,3,391,612,612,601,100,16
SAN ANTONIO,3,354,599,599,589,96,17
SAN ANTONIO,3,357,571,571,557,81,18
SAN ANTONIO,3,362,548,548,533,71,19
SAN ANTONIO,3,349,529,529,513,68,20
SAN ANTONIO,3,355,510,510,492,69,21
SAN ANTONIO,3,395,496,496,476,68,22
SAN ANTONIO,3,402,486,486,465,67,23
SAN ANTONIO,4,431,477,477,454,67,0
SAN ANTONIO,4,462,469,469,444,65,1
SAN ANTONIO,4,468,463,463,438,63,2
SAN ANTONIO,4,458,458,458,431,64,3
SAN ANTONIO,4,476,454,454,427,61,4
SAN ANTONIO,4,459,450,450,422,62,5
SAN ANTONIO,4,446,446,446,417,62,6
SAN ANTONIO,4,462,445,445,414,66,7
SAN ANTONIO,4,460,447,447,416,68,8
SAN ANTONIO,4,477,478,478,451,73,9
SAN ANTONIO,4,477,515,515,492,86,10
SAN ANTONIO,4,474,544,544,526,94,11
SAN ANTONIO,4,462,568,568,552,99,12
SAN ANTONIO,4,431,588,588,575,100,13
SAN ANTONIO,4,405,602,602,590,102,14
SAN ANTONIO,4,381,610,610,598,101,15
SAN ANTONIO,4,391,610,610,599,100,16
SAN ANTONIO,4,359,598,598,586,96,17
SAN ANTONIO,4,360,570,570,555,81,18
SAN ANTONIO,4,366,546,546,530,71,19
SAN ANTONIO,4,354,527,527,510,68,20
SAN ANTONIO,4,359,508,508,489,70,21
SAN ANTONIO,4,401,495,495,474,69,22
SAN ANTONIO,4,418,485,485,463,68,23
SAN ANTONIO,5,442,476,476,452,68,0
SAN ANTONIO,5,470,468,468,442,66,1
SAN ANTONIO,5,484,462,462,437,64,2
SAN ANTONIO,5,472,458,458,430,65,3
SAN ANTONIO,5,490,453,453,426,62,4
SAN ANTONIO,5,474,449,449,421,62,5
SAN ANTONIO,5,467,446,446,416,63,6
SAN ANTONIO,5,481,445,445,414,65,7
SAN ANTONIO,5,475,447,447,417,67,8
SAN ANTONIO,5,499,478,478,451,72,9
SAN ANTONIO,5,498,515,515,493,85,10
SAN ANTONIO,5,486,544,544,526,94,11
SAN ANTONIO,5,474,568,568,551,99,12
SAN ANTONIO,5,439,588,588,574,100,13
SAN ANTONIO,5,413,602,602,589,101,14
SAN ANTONIO,5,379,610,610,597,102,15
SAN ANTONIO,5,389,610,610,599,100,16
SAN ANTONIO,5,368,598,598,586,96,17
SAN ANTONIO,5,373,570,570,555,81,18
SAN ANTONIO,5,376,547,547,531,71,19
SAN ANTONIO,5,368,527,527,510,68,20
SAN ANTONIO,5,370,509,509,490,70,21
SAN ANTONIO,5,413,495,495,473,69,22
SAN ANTONIO,5,427,484,484,462,68,23
SAN ANTONIO,6,451,476,476,451,69,0
SAN ANTONIO,6,477,468,468,442,66,1
SAN ANTONIO,6,487,462,462,436,64,2
SAN ANTONIO,6,474,458,458,430,65,3
SAN ANTONIO,6,500,453,453,425,63,4
SAN ANTONIO,6,480,449,449,420,64,5
SAN ANTONIO,6,471,445,445,415,64,6
SAN ANTONIO,6,486,443,443,412,66,7
SAN ANTONIO,6,478,446,446,415,68,8
SAN ANTONIO,6,496,476,476,449,74,9
SAN ANTONIO,6,497,513,513,490,86,10
SAN ANTONIO,6,487,542,542,523,94,11
SAN ANTONIO,6,476,565,565,548,99,12
SAN ANTONIO,6,448,584,584,570,101,13
SAN ANTONIO,6,423,598,598,584,102,14
SAN ANTONIO,6,386,605,605,592,102,15
SAN ANTONIO,6,389,606,605,593,101,16
SAN ANTONIO,6,366,594,594,581,97,17
SAN ANTONIO,6,373,567,567,551,82,18
SAN ANTONIO,6,378,543,543,526,72,19
SAN ANTONIO,6,367,524,524,506,68,20
SAN ANTONIO,6,376,505,505,486,70,21
SAN ANTONIO,6,417,492,492,470,69,22
SAN ANTONIO,6,432,481,481,458,69,23
SAN ANTONIO,7,450,473,473,447,69,0
