city,day,cloudCover,heatIndex,normalTemperature,windChill,aveWindSpeed,hour
SEATTLE,1,644,394,394,343,86,0
SEATTLE,1,646,392,392,341,84,1
SEATTLE,1,651,390,390,339,85,2
SEATTLE,1,619,389,389,336,86,3
SEATTLE,1,648,388,388,337,82,4
SEATTLE,1,629,387,387,335,85,5
SEATTLE,1,633,387,387,335,86,6
SEATTLE,1,605,386,386,332,87,7
SEATTLE,1,653,387,387,334,87,8
SEATTLE,1,653,392,392,340,88,9
SEATTLE,1,630,401,401,351,88,10
SEATTLE,1,620,413,413,365,88,11
SEATTLE,1,624,425,425,380,89,12
SEATTLE,1,631,432,432,387,92,13
SEATTLE,1,612,435,435,391,94,14
SEATTLE,1,641,433,433,389,91,15
SEATTLE,1,656,427,427,381,90,16
SEATTLE,1,646,417,417,368,92,17
SEATTLE,1,666,412,412,361,93,18
SEATTLE,1,659,409,409,357,92,19
SEATTLE,1,660,407,407,354,94,20
SEATTLE,1,645,404,404,352,91,21
SEATTLE,1,668,402,402,350,90,22
SEATTLE,1,649,399,399,346,90,23
SEATTLE,2,643,396,396,345,86,0
SEATTLE,2,649,394,394,344,85,1
SEATTLE,2,657,393,393,342,85,2
SEATTLE,2,622,391,391,339,86,3
SEATTLE,2,657,390,390,339,83,4
SEATTLE,2,639,389,389,337,85,5
SEATTLE,2,643,390,390,337,86,6
SEATTLE,2,616,388,388,335,87,7
SEATTLE,2,658,390,389,337,87,8
SEATTLE,2,661,395,395,343,89,9
SEATTLE,2,641,404,404,355,88,10
SEATTLE,2,628,415,415,369,88,11
SEATTLE,2,629,427,427,383,90,12
SEATTLE,2,637,434,434,390,92,13
SEATTLE,2,626,438,438,393,95,14
SEATTLE,2,646,436,436,392,92,15
SEATTLE,2,663,429,429,384,90,16
SEATTLE,2,648,419,419,370,93,17
SEATTLE,2,659,414,414,363,93,18
SEATTLE,2,659,411,411,359,93,19
SEATTLE,2,658,409,409,357,95,20
SEATTLE,2,647,406,406,354,90,21
SEATTLE,2,661,404,404,352,91,22
SEATTLE,2,633,400,400,347,91,23
SEATTLE,3,632,398,398,347,87,0
SEATTLE,3,638,396,396,346,86,1
SEATTLE,3,649,395,395,343,85,2
SEATTLE,3,625,393,393,342,86,3
SEATTLE,3,662,392,392,341,84,4
SEATTLE,3,643,391,391,339,86,5
SEATTLE,3,640,391,391,339,87,6
SEATTLE,3,611,390,390,337,87,7
SEATTLE,3,655,391,391,339,88,8
SEATTLE,3,664,397,397,345,90,9
SEATTLE,3,644,406,406,357,89,10
SEATTLE,3,624,418,418,371,88,11
SEATTLE,3,626,429,429,385,90,12
SEATTLE,3,633,437,437,392,93,13
SEATTLE,3,622,440,440,396,95,14
SEATTLE,3,643,438,438,394,93,15
SEATTLE,3,661,432,432,387,91,16
SEATTLE,3,658,421,421,373,94,17
SEATTLE,3,671,416,416,365,94,18
SEATTLE,3,658,413,413,362,94,19
SEATTLE,3,656,412,412,360,95,20
SEATTLE,3,647,408,408,357,91,21
SEATTLE,3,662,406,406,354,91,22
SEATTLE,3,631,403,403,350,90,23
SEATTLE,4,629,400,400,350,87,0
SEATTLE,4,630,398,398,348,85,1
SEATTLE,4,643,397,397,345,86,2
SEATTLE,4,621,395,395,344,85,3
SEATTLE,4,658,393,393,343,84,4
SEATTLE,4,639,392,392,341,85,5
SEATTLE,4,640,393,393,341,86,6
SEATTLE,4,614,392,392,339,87,7
SEATTLE,4,646,393,393,341,87,8
SEATTLE,4,659,398,398,347,89,9
SEATTLE,4,637,408,408,358,88,10
SEATTLE,4,615,419,419,372,89,11
SEATTLE,4,630,431,430,386,91,12
SEATTLE,4,637,437,437,393,92,13
SEATTLE,4,625,442,442,399,95,14
SEATTLE,4,648,440,440,397,93,15
SEATTLE,4,667,434,434,389,91,16
SEATTLE,4,660,423,423,375,93,17
SEATTLE,4,664,418,418,368,93,18
SEATTLE,4,653,415,415,364,93,19
SEATTLE,4,648,413,413,361,95,20
SEATTLE,4,643,410,410,359,91,21
SEATTLE,4,658,408,408,356,91,22
SEATTLE,4,623,405,405,353,91,23
SEATTLE,5,631,402,402,352,87,0
SEATTLE,5,636,400,400,351,86,1
SEATTLE,5,638,398,398,347,86,2
SEATTLE,5,618,396,396,346,85,3
SEATTLE,5,658,395,395,345,83,4
SEATTLE,5,640,393,393,342,85,5
SEATTLE,5,638,394,394,343,85,6
SEATTLE,5,614,393,393,341,86,7
SEATTLE,5,649,394,394,343,87,8
SEATTLE,5,669,400,400,349,90,9
SEATTLE,5,643,410,410,361,89,10
SEATTLE,5,619,421,421,374,90,11
SEATTLE,5,624,433,433,388,92,12
SEATTLE,5,641,439,439,396,93,13
SEATTLE,5,628,444,444,401,94,14
SEATTLE,5,652,442,442,399,94,15
SEATTLE,5,664,436,436,392,92,16
SEATTLE,5,653,426,426,378,94,17
SEATTLE,5,656,420,420,371,94,18
SEATTLE,5,653,418,418,367,94,19
SEATTLE,5,645,416,416,364,95,20
SEATTLE,5,647,413,413,363,90,21
SEATTLE,5,659,411,411,360,91,22
SEATTLE,5,617,408,408,357,89,23
SEATTLE,6,628,405,405,356,86,0
SEATTLE,6,633,403,403,355,86,1
SEATTLE,6,632,401,401,350,86,2
SEATTLE,6,620,399,399,349,85,3
SEATTLE,6,658,397,397,347,84,4
SEATTLE,6,644,395,395,345,85,5
SEATTLE,6,640,396,396,346,84,6
SEATTLE,6,625,396,395,344,86,7
SEATTLE,6,650,396,396,345,86,8
SEATTLE,6,675,402,402,351,89,9
SEATTLE,6,652,412,412,364,87,10
SEATTLE,6,622,424,423,377,89,11
SEATTLE,6,635,435,435,391,91,12
SEATTLE,6,644,442,442,399,91,13
SEATTLE,6,628,446,446,404,93,14
SEATTLE,6,654,444,444,402,93,15
SEATTLE,6,662,438,438,394,91,16
SEATTLE,6,652,427,427,380,93,17
SEATTLE,6,661,422,422,372,93,18
SEATTLE,6,658,419,419,369,93,19
SEATTLE,6,643,417,417,366,95,20
SEATTLE,6,643,414,414,363,91,21
SEATTLE,6,652,412,412,361,91,22
SEATTLE,6,618,409,409,359,89,23
SEATTLE,7,619,406,406,357,85,0
SEATTLE,7,627,404,404,356,86,1
SEATTLE,7,622,402,402,351,86,2
SEATTLE,7,613,400,400,350,85,3
SEATTLE,7,651,398,398,348,85,4
SEATTLE,7,643,396,396,346,85,5
SEATTLE,7,631,397,397,347,85,6
SEATTLE,7,621,397,397,345,86,7
SEATTLE,7,650,397,397,346,87,8
SEATTLE,7,674,403,403,351,90,9
SEATTLE,7,658,413,413,365,88,10
SEATTLE,7,625,424,424,378,89,11
SEATTLE,7,639,436,436,392,92,12
SEATTLE,7,651,443,443,400,92,13
SEATTLE,7,637,447,447,406,94,14
SEATTLE,7,652,446,445,403,95,15
SEATTLE,7,665,439,439,395,92,16
SEATTLE,7,655,428,428,381,94,17
SEATTLE,7,667,422,422,373,94,18
SEATTLE,7,661,420,419,369,93,19
SEATTLE,7,646,418,418,366,95,20
SEATTLE,7,645,414,414,364,91,21
SEATTLE,7,661,412,412,362,92,22
SEATTLE,7,617,409,409,359,89,23
SEATTLE,8,607,406,406,357,86,0
SEATTLE,8,612,404,404,355,86,1
SEATTLE,8,617,402,402,352,84,2
SEATTLE,8,617,400,400,351,84,3
SEATTLE,8,644,398,398,348,84,4
SEATTLE,8,648,396,396,346,83,5
SEATTLE,8,631,397,397,346,85,6
SEATTLE,8,623,396,396,344,86,7
SEATTLE,8,645,396,396,346,86,8
SEATTLE,8,671,402,402,351,89,9
SEATTLE,8,657,412,412,365,87,10
SEATTLE,8,624,425,425,378,89,11
SEATTLE,8,645,436,436,392,91,12
SEATTLE,8,653,443,443,401,92,13
SEATTLE,8,630,447,447,407,93,14
SEATTLE,8,649,446,446,404,94,15
SEATTLE,8,667,439,439,396,92,16
SEATTLE,8,661,428,428,382,92,17
SEATTLE,8,664,422,422,373,93,18
SEATTLE,8,659,420,420,370,93,19
SEATTLE,8,646,418,418,367,94,20
SEATTLE,8,653,414,414,364,90,21
SEATTLE,8,652,412,412,362,91,22
SEATTLE,8,612,409,409,359,88,23
SEATTLE,9,607,406,406,357,85,0
SEATTLE,9,612,403,403,354,86,1
SEATTLE,9,621,401,401,351,84,2
SEATTLE,9,620,399,399,350,83,3
SEATTLE,9,640,397,397,346,84,4
SEATTLE,9,642,395,395,345,82,5
SEATTLE,9,631,395,395,345,84,6
SEATTLE,9,632,395,395,344,84,7
SEATTLE,9,649,395,395,345,85,8
SEATTLE,9,671,401,401,351,88,9
SEATTLE,9,659,411,411,364,86,10
SEATTLE,9,621,423,423,378,88,11
SEATTLE,9,651,435,435,391,90,12
SEATTLE,9,649,442,442,400,92,13
SEATTLE,9,621,447,447,407,92,14
SEATTLE,9,637,446,446,405,93,15
SEATTLE,9,656,440,440,396,92,16
SEATTLE,9,650,428,428,382,91,17
SEATTLE,9,652,422,422,374,93,18
SEATTLE,9,653,420,420,370,92,19
SEATTLE,9,642,418,418,367,94,20
SEATTLE,9,645,414,414,364,90,21
SEATTLE,9,649,412,412,362,91,22
SEATTLE,9,610,409,409,359,89,23
SEATTLE,10,594,406,406,357,86,0
SEATTLE,10,615,403,403,354,86,1
SEATTLE,10,619,401,401,352,83,2
SEATTLE,10,616,399,398,350,83,3
SEATTLE,10,637,396,396,346,82,4
SEATTLE,10,635,394,394,345,82,5
SEATTLE,10,623,395,395,345,83,6
SEATTLE,10,629,395,395,344,83,7
SEATTLE,10,644,395,395,345,85,8
SEATTLE,10,674,401,401,351,86,9
SEATTLE,10,661,411,411,364,86,10
SEATTLE,10,628,423,423,378,87,11
SEATTLE,10,654,435,435,392,89,12
SEATTLE,10,649,442,442,401,91,13
SEATTLE,10,620,447,447,407,91,14
SEATTLE,10,646,446,446,406,91,15
SEATTLE,10,658,440,440,397,90,16
SEATTLE,10,659,428,428,383,90,17
SEATTLE,10,648,422,422,374,92,18
SEATTLE,10,655,420,420,372,91,19
SEATTLE,10,644,418,418,368,94,20
SEATTLE,10,643,415,415,366,90,21
SEATTLE,10,647,412,412,363,91,22
SEATTLE,10,605,410,410,361,88,23
SEATTLE,11,592,406,406,358,84,0
SEATTLE,11,608,403,403,355,85,1
SEATTLE,11,617,401,401,353,83,2
SEATTLE,11,613,399,399,351,82,3
SEATTLE,11,642,397,397,348,82,4
SEATTLE,11,642,395,395,346,82,5
SEATTLE,11,625,396,396,346,83,6
SEATTLE,11,639,395,395,346,83,7
SEATTLE,11,644,395,395,345,85,8
SEATTLE,11,676,401,401,352,86,9
SEATTLE,11,656,412,412,365,84,10
SEATTLE,11,630,424,424,380,85,11
SEATTLE,11,645,436,436,394,87,12
SEATTLE,11,643,444,444,403,89,13
SEATTLE,11,616,448,448,409,89,14
SEATTLE,11,639,448,448,408,90,15
SEATTLE,11,639,441,441,400,88,16
SEATTLE,11,643,429,429,385,88,17
SEATTLE,11,642,423,423,376,90,18
SEATTLE,11,647,421,421,374,90,19
SEATTLE,11,633,419,419,370,92,20
SEATTLE,11,640,416,416,368,88,21
SEATTLE,11,637,413,413,365,89,22
SEATTLE,11,602,411,411,363,87,23
SEATTLE,12,592,407,407,360,83,0
SEATTLE,12,602,404,404,356,85,1
SEATTLE,12,617,402,402,354,82,2
SEATTLE,12,610,399,399,352,81,3
SEATTLE,12,634,397,397,349,80,4
SEATTLE,12,648,396,396,347,81,5
SEATTLE,12,635,396,396,347,82,6
